"Sample","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243"
"DG 34_2",126906.029457438,253046.948715379,184121.861896287,135780.63468126,114832.463512575,200904.581953389,157347.172911954,349702.387293389
"DG 34_3",37365.7036328191,68865.4159911298,61913.9655484281,31656.9988202952,19550.4786983602,41111.2411963647,24853.3908896281,71273.2768878392
"DG 36_3",107262.312485813,209636.075455232,180760.130342769,119966.049617415,143918.337393831,265090.481626636,200904.581953389,387270.617647466
"DG 38_1",19390.5442069508,8542.10920207519,9744.92372465852,15903.1636719416,15508.0548213557,10084.5243079081,13872.4731269625,7673.45763461263
"DG 42_1",116292.48473204,59264.4870583515,70138.2473968135,141350.507760114,149931.595090387,83139.8336152387,107262.312485813,77688.3233362909
"DG 38_4",1521673.43425927,632064.883944359,632064.883944359,1362378.17713652,1736024.69956758,473514.396323247,873649.246921088,632064.883944359
"DG 32_2",20167.5334982146,52725.2571325448,31656.9988202952,20910.8150978923,7455.48388835241,14472.8153843723,8376.80072429699,27670.0936672965
"DG 38_5",33305.8925619482,20910.8150978923,20335.218871122,26658.0812070253,24524.5636861208,15320.5179280477,22124.5566343064,19390.5442069508
"DG 42_5",3172.08257104545,1953.22247719673,2052.81109483146,2902.82107368187,2716.3062741143,1747.80890679262,2347.39096477112,3671.55825258607
"DG 40_2",13688.4367662645,8643.23297631198,8743.03737327956,12216.4647436599,9744.92372465852,7122.75331455143,7673.45763461263,8542.10920207519
"DG 36_2",342721.467376627,387270.617647466,334156.635012901,273593.712628702,376139.7399138,319910.382681414,349702.387293389,817013.140585522
"DG 36_0",2697020.12172107,4850288.45298836,4145863.07051071,2529997.29173415,3002995.03061119,3499420.79693566,3362555.33742302,5772658.72700205
"DG 32_0",16635.8568564016,30553.0861994212,20167.5334982146,16461.9185105772,13688.4367662645,17832.1854382187,12781.7273109445,37365.7036328191
"DG 40_5",17027.9137424237,11034.533699935,9646.40068994235,11273.4736028691,17342.0981752716,5950.32139780381,8195.52863417798,8743.03737327956
"DG 32_1",20910.8150978923,36934.2201731801,26862.5909896027,18352.1386873316,8837.01907379447,14673.5522850476,11840.9053550274,31911.2149348523
"DG 38_3",216662.892799858,95139.118409496,116292.48473204,157347.172911954,173899.488566082,68865.4159911298,114832.463512575,90509.0858914233
"DG 36_1",430834.214148233,236581.254552268,209636.075455232,294671.854636573,325851.575914495,177646.613127887,209636.075455232,236581.254552268
"DG 36_4",80589.2574650181,38664.5565837041,36934.2201731801,70138.2473968135,80589.2574650181,32962.545244116,66257.3182483344,76079.3350327907
"DG 40_1",37679.2324284736,18898.0750906925,21891.5537184833,41964.9397968801,42420.0850862687,22124.5566343064,38115.5030990945,27286.3180180708
"DG 38_7",628.582411607803,628.582411607803,709.339876200706,940.261813181366,867.322201796512,753.882161980778,818.182590978346,1198.94675430264
"DG 42_2",25127.7562827948,13311.2638896907,16067.463872993,31366.7141337358,27902.260694099,20167.5334982146,29882.8347307373,17027.9137424237
"DG 34_0",358500.314910743,873649.246921088,417740.909957642,325851.575914495,310104.381309937,302985.693493846,216662.892799858,656031.417080701
"DG 40_6",19203.3429422686,11145.78705092,7860.68074802649,11383.9987105799,15903.1636719416,6608.62976664637,6414.07589437904,11840.9053550274
"DG 40_4",60166.5128489118,30997.9822217921,30553.0861994212,40539.8678624307,46346.1451413675,15714.0671322331,22292.2234065992,23720.7146673046
"DG 38_2",28187.2005027653,23998.0735836947,23507.9832798941,19203.3429422686,26658.0812070253,15106.4196359861,18187.6939136266,29559.6127479216
"DG 38_6",14826.5622407911,7569.33270324337,8195.52863417798,8940.03285088057,11840.9053550274,7017.19469566664,11383.9987105799,9413.31698330455
"DG 38_0",29559.6127479216,62980.3834795584,40539.8678624307,34730.4902446366,30235.1958660684,41493.4848411557,40070.6248917404,59264.4870583515
"DG 40_0",19028.7732969402,33305.8925619482,23720.7146673046,23159.7373864312,20562.9661931337,25127.7562827948,23159.7373864312,38664.5565837041
"DG 30_1",2193.16301258689,3818.53011743654,2847.53188855849,1198.94675430264,818.182590978346,818.182590978346,569.981663224656,569.981663224656
"DG 44_2",7122.75331455143,3759.98949699223,4160.77931710736,5356.20958603735,8099.14144085014,3232.93503835219,4219.33294412033,3082.74948686888
"DG 42_3",4066.41069116318,2764.03066801077,3955.27834533381,4640.22791190902,2618.5692247546,3818.53011743654,4591.8598427265,3998.54115068617
"DG 42_4",6496.08711644631,3082.74948686888,2571.09949565564,4532.17699145362,6813.54548410478,2764.03066801077,7122.75331455143,3043.53122756663
"DG 42_0",8295.86235620433,2995.74208859765,4882.87107528133,6608.62976664637,10585.4030459485,6673.20576055493,6673.20576055493,4772.42405507662
"DG 44_6",4286.3938586557,6414.07589437904,6235.46847186208,5296.8660515496,8542.10920207519,6813.54548410478,6608.62976664637,6414.07589437904
"DG 44_1",2995.74208859765,1411.04692391368,818.182590978346,2296.76873423381,4160.77931710736,1854.63901314069,3283.39021609753,1123.46535027962
"DG 30_2",3232.93503835219,5563.09756279768,3338.7624604319,1478.38811687831,1532.09554720426,1411.04692391368,1478.38811687831,4099.0418512615
"lysoPC 16_0",632064.883944359,505819.673411506,656031.417080701,791344.876364551,817013.140585522,632064.883944359,1170172.54612086,376139.7399138
"lysoPC 18_2",48784.8995749478,41964.9397968801,51022.0681513153,55419.8712241161,87005.7529160053,64201.4139458909,90509.0858914233,43871.1143900149
"lysoPC 20_3",51022.0681513153,28581.5931744224,41493.4848411557,51022.0681513153,61913.9655484281,36539.0195933176,59264.4870583515,26134.6162467604
"lysoPC 20_4",30997.9822217921,24524.5636861208,30997.9822217921,39556.1177807976,43127.956453077,28993.464117957,39556.1177807976,16789.57049199
"lysoPC 22_6",41493.4848411557,24853.3908896281,39077.7767939668,46346.1451413675,59264.4870583515,34730.4902446366,55419.8712241161,22124.5566343064
"lysoPC 16_1",44315.8758536031,27670.0936672965,32627.1825471288,45464.0372744196,41964.9397968801,27902.260694099,39077.7767939668,13872.4731269625
"lysoPC 18_1",791344.876364551,367151.564201145,473514.396323247,738235.701981288,848209.171972885,583382.461353452,905287.045004015,310104.381309937
"lysoPC 18_0",294671.854636573,325851.575914495,310104.381309937,367151.564201145,397778.30771661,358500.314910743,505819.673411506,319910.382681414
"lysoPC 22_0",72498.6134936229,76079.3350327907,93023.381499912,123658.23604849,116292.48473204,113564.066355539,186702.776833345,67312.5417816368
"lysoPC 20_0",23998.0735836947,24318.9240043805,27087.4875242112,33305.8925619482,32254.2506654743,32254.2506654743,49328.283990755,21581.1265728941
"lysoPC 14_0",14972.2221675654,9884.69373829821,9413.31698330455,15714.0671322331,16067.463872993,10333.3513768161,18529.4487020742,6235.46847186208
"lysoPC 24_1",22124.5566343064,22124.5566343064,26134.6162467604,32627.1825471288,28993.464117957,23159.7373864312,31366.7141337358,14040.7586622347
"lysoPC 20_1",11273.4736028691,10585.4030459485,13311.2638896907,14826.5622407911,17679.5541886965,13472.5799988513,17514.1100655277,5403.07213030986
"lysoPC 22_5",5645.94363028883,3714.17338211416,4532.17699145362,3714.17338211416,5563.09756279768,4349.42677600596,5645.94363028883,1953.22247719673
"lysoPC 22_1",12031.4387587379,7860.68074802649,10084.5243079081,13021.0867705264,16789.57049199,13872.4731269625,17027.9137424237,5296.8660515496
"lysoPC 20_2",8743.03737327956,5480.36106743619,6608.62976664637,5950.32139780381,9413.31698330455,5849.40568966629,10585.4030459485,6016.07480905237
"lysoPC 26_0",7455.48388835241,9513.54906936368,7194.96845122194,8376.80072429699,8195.52863417798,11546.1641882785,10458.9206785961,10746.7319360256
"lysoPC 24_0",230154.557420029,216662.892799858,294671.854636573,387270.617647466,349702.387293389,430834.214148233,632064.883944359,253046.948715379
"lysoPC 20_5",2805.82042661492,1532.09554720426,2764.03066801077,2945.91375862882,3955.27834533381,3626.56543918095,4493.79792135863,1677.24310014025
"lysoPC 26_1",7673.45763461263,6016.07480905237,8099.14144085014,9884.69373829821,11034.533699935,9413.31698330455,12031.4387587379,4349.42677600596
"lysoPE 18_1",656031.417080701,417740.909957642,583382.461353452,848209.171972885,791344.876364551,714911.878151464,937247.526570316,367151.564201145
"lysoPE 22_6",33717.5256255891,21891.5537184833,29559.6127479216,37679.2324284736,48111.2995296212,30235.1958660684,43871.1143900149,20335.218871122
"lysoPE 20_4",23159.7373864312,17514.1100655277,24318.9240043805,32962.545244116,31911.2149348523,22877.4895171125,34456.083497354,13311.2638896907
"lysoPE 16_1",18352.1386873316,11546.1641882785,14826.5622407911,20335.218871122,17514.1100655277,12488.6839695275,16250.1035465472,5083.0431779587
"lysoPE 22_4",22292.2234065992,11273.4736028691,19550.4786983602,22877.4895171125,22877.4895171125,19550.4786983602,26445.6498018445,7998.19358554573
"lysoPE 18_2",15903.1636719416,13021.0867705264,17983.8299036484,21163.8866669064,33305.8925619482,25721.1527974077,34190.1335949228,24853.3908896281
"lysoPE 20_1",10866.8464510759,6496.08711644631,9980.98145413166,16067.463872993,13146.3545478315,11273.4736028691,16461.9185105772,4841.88132293702
"lysoPE 22_1",9646.40068994235,5083.0431779587,8940.03285088057,10217.9101496267,12618.8333493546,11684.1084991369,14040.7586622347,5239.63454479781
"lysoPE 24_1",3283.39021609753,3626.56543918095,4066.41069116318,4841.88132293702,3818.53011743654,4591.8598427265,7017.19469566664,3172.08257104545
"lysoPE 16_0",43871.1143900149,36539.0195933176,38664.5565837041,59264.4870583515,56628.2489575549,55419.8712241161,97562.7801367842,34190.1335949228
"lysoPE 18_0",3998.54115068617,2193.16301258689,3232.93503835219,3393.8336610994,3338.7624604319,5239.63454479781,5356.20958603735,4286.3938586557
"lysoPE 24_4",4349.42677600596,2142.46085230216,3130.44089174333,7455.48388835241,4219.33294412033,6314.38882186503,5849.40568966629,2251.81869021205
"lysoPE 22_5",9413.31698330455,6608.62976664637,7998.19358554573,8542.10920207519,10084.5243079081,9980.98145413166,10746.7319360256,4532.17699145362
"lysoPE 20_3",4882.87107528133,325.045423786159,3671.55825258607,5480.36106743619,1580.02568520813,4099.0418512615,4532.17699145362,1258.62638779867
"lysoPE 20_2",2764.03066801077,1338.64304046164,2670.79515161868,3626.56543918095,2805.82042661492,4493.79792135863,4420.77640356408,1854.63901314069
"lysoPE 14_0",1627.74608298836,569.981663224656,1478.38811687831,2193.16301258689,3043.53122756663,2052.81109483146,3759.98949699223,426.708547511286
"MG 20_0",8542.10920207519,12332.1794405939,11034.533699935,11684.1084991369,11546.1641882785,13688.4367662645,12488.6839695275,17832.1854382187
"MG 18_1",17514.1100655277,28187.2005027653,23159.7373864312,21891.5537184833,22292.2234065992,18352.1386873316,20723.8087261491,32627.1825471288
"MG 16_0",149931.595090387,223524.973258297,195751.994832818,200904.581953389,200904.581953389,186702.776833345,236581.254552268,294671.854636573
"MG 18_0",473514.396323247,656031.417080701,526908.240486991,505819.673411506,505819.673411506,491092.55596236,491092.55596236,1110766.02950714
