Class	Carbon	Saturation	Adduct	RT	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
CE	22	6	 [M+NH4]+	10.47	8.53	805568.9706	1444798.626	1257489.017	1970232.117	2579586.391	902038.4319	2339338.535	2339338.535	1663149.824	1799576.667	1257489.017	1576862.835	2835688.526	1663149.824	3295365.994	1799576.667	2150310.29	2059032.925	1970232.117	1883214.521	3469989.306	3160636.908	2465765.97	2983981.311	1883214.521	1730893.744	1510977.876	1883214.521	2150310.29	1970232.117	1970232.117	1970232.117	1970232.117	2150310.29	1970232.117	2150310.29	2150310.29	2059032.925	2579586.391	2339338.535	2240937.845	2339338.535	2150310.29	2150310.29	2150310.29	1730893.744	1883214.521	2150310.29
CE	18	2	 [M+NH4]+	10.71	10.39	1101212.473	1510977.876	1883214.521	2059032.925	2835688.526	1730893.744	2240937.845	2835688.526	1970232.117	2711199.985	2150310.29	2240937.845	3295365.994	2835688.526	3469989.306	2240937.845	1970232.117	2150310.29	1883214.521	1730893.744	3295365.994	3295365.994	3596321.562	2835688.526	2339338.535	1576862.835	2059032.925	1663149.824	2983981.311	3469989.306	2711199.985	3596321.562	2059032.925	2339338.535	2059032.925	1799576.667	2711199.985	2711199.985	2711199.985	3596321.562	2059032.925	1970232.117	1883214.521	1883214.521	3160636.908	2579586.391	3748060.579	2835688.526
CE	20	4	 [M+NH4]+	10.62	14.48	2150310.29	2711199.985	2465765.97	3748060.579	3880016.42	1970232.117	4812917.102	4362597.42	2983981.311	3469989.306	2240937.845	3469989.306	4362597.42	3160636.908	5053750.494	3596321.562	4362597.42	4564994.882	3748060.579	4362597.42	5634645.554	4158281.24	5053750.494	4812917.102	2983981.311	2465765.97	2983981.311	2579586.391	4013374.822	3880016.42	3748060.579	5999576.471	5634645.554	6368275.777	4013374.822	5274317.553	4362597.42	5274317.553	4158281.24	5634645.554	5274317.553	4013374.822	4158281.24	4362597.42	5274317.553	3596321.562	4812917.102	4158281.24
CE	20	2	 [M+NH4]+	11.04	14.99	21987.46826	28900.85948	24185.59889	25341.32414	28330.4109	7286.744108	32951.19268	27576.27292	18429.50739	36684.92517	28613.28879	46534.24218	26129.04772	28330.4109	75967.0516	32653.14066	86952.37795	37486.80802	47970.33731	26646.02747	30439.74708	67963.63261	89936.46118	40207.65709	42772.6566	24385.60147	27132.93644	41106.72077	14659.6055	30137.09931	27851.55478	41106.72077	53962.16761	40667.67115	50831.41871	60729.6923	38717.9035	21605.10297	32320.47221	41493.90284	65168.05999	67279.79372	42378.23472	36051.60998	18206.73171	26129.04772	24185.59889	31019.51807
CE	22	4	 [M+NH4]+	10.86	22.35	41886.7757	47970.33731	31918.77435	74343.49208	45581.41301	21185.7618	48879.55911	44612.9401	38345.67711	44612.9401	33928.98154	72634.99393	19436.00247	34992.82183	50397.68698	42772.6566	104510.3492	67279.79372	64562.88981	76718.57134	67963.63261	71107.42821	85783.85021	47384.27633	94232.12223	35707.01503	33596.98543	56946.4925	32951.19268	26361.83476	18906.45718	52765.47469	90804.37134	81625.74061	69529.13567	109913.347	29176.90976	42772.6566	31918.77435	23760.88531	59480.37711	89936.46118	61474.3726	66039.1908	28330.4109	18906.45718	25341.32414	18206.73171
CE	16	0	 [M+NH4]+	10.99	30.8	20408.15963	22960.96628	25341.32414	33928.98154	44216.68627	25105.8749	53962.16761	33596.98543	39803.74731	18047.13162	19074.6501	27576.27292	32951.19268	55085.44644	42772.6566	39803.74731	43664.69969	35707.01503	23760.88531	17173.7699	40667.67115	53962.16761	55625.01356	40667.67115	29492.68102	19986.14002	26129.04772	27576.27292	40207.65709	32951.19268	45098.78587	52315.61511	37486.80802	32653.14066	25341.32414	21049.67203	51811.35023	48358.84919	46940.02636	39094.91666	34315.39148	33596.98543	36384.64296	43156.70584	38345.67711	34992.82183	46940.02636	48358.84919
CE	18	0	 [M+NH4]+	11.35	52.53	2693.967625	573.3575846	662.275792	2367.867489	6416.446615	11081.29933	6834.590277	3416.561226	4192.120978	3455.706846	1918.54647	1918.54647	4448.178867	4992.326724	2645.413033	5090.382455	1000.805195	1082.465269	1631.217685	1787.589375	4055.588097	5720.633691	3697.590859	5812.552331	2472.498077	2472.498077	3216.649245	1710.410366	2434.029605	6474.257656	4700.208221	6300.773746	2078.724739	2402.141259	2693.967625	5291.079096	8131.752512	5343.930802	5241.93972	7537.2898	4192.120978	4055.588097	5137.065394	2472.498077	5562.045029	7350.632013	4448.178867	4591.523028
DG	32	0	 [M+NH4]+	7.91	9.32	19775.81246	41493.90284	54583.11106	53962.16761	46940.02636	56263.50213	28613.28879	30741.45545	43156.70584	43664.69969	31918.77435	28613.28879	61474.3726	57592.48043	48358.84919	46014.1659	36051.60998	50831.41871	39094.91666	51811.35023	49443.30779	57592.48043	39094.91666	50397.68698	32951.19268	37486.80802	55625.01356	46534.24218	57592.48043	43156.70584	36051.60998	29789.4811	53393.48696	41106.72077	52315.61511	38717.9035	32653.14066	36384.64296	41886.7757	36384.64296	43156.70584	55625.01356	39094.91666	46534.24218	35398.04461	47970.33731	72634.99393	51811.35023
DG	34	2	 [M+NH4]+	7.6	11.77	147412.984	65168.05999	116697.0135	23760.88531	36384.64296	83520.44303	50397.68698	57592.48043	49443.30779	53393.48696	102937.9447	52765.47469	47384.27633	45098.78587	35707.01503	49443.30779	21398.58822	32951.19268	95406.13851	19436.00247	36051.60998	25341.32414	29789.4811	35707.01503	99253.61496	78590.41593	25857.93131	45581.41301	14802.05629	46534.24218	60137.67249	28613.28879	35398.04461	35398.04461	37920.01161	26879.54101	28900.85948	31019.51807	22960.96628	30741.45545	42378.23472	32951.19268	44612.9401	35707.01503	41886.7757	42378.23472	44612.9401	32320.47221
DG	36	2	 [M+NH4]+	8.09	13.48	154915.5059	89029.54398	99253.61496	39803.74731	46534.24218	70262.89681	45581.41301	46940.02636	66724.03274	41886.7757	107168.8845	70262.89681	48358.84919	51282.16087	50831.41871	49879.06417	48879.55911	66039.1908	118505.8912	49443.30779	55625.01356	34652.8868	63815.60297	44216.68627	100528.7877	93228.66841	71916.48569	74343.49208	26129.04772	63815.60297	79546.63876	49879.06417	61474.3726	55625.01356	55625.01356	47970.33731	39803.74731	43156.70584	33279.99224	52315.61511	79546.63876	66039.1908	118505.8912	99253.61496	39803.74731	48879.55911	37486.80802	33596.98543
