"Sample","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266"
"DG 34_2",204933.035648811,108768.194434849,88679.2392471334,90509.0858914233,141350.507760114,246152.157378492,342721.467376627,95139.118409496
"DG 34_3",55419.8712241161,28581.5931744224,20562.9661931337,26134.6162467604,34190.1335949228,44920.290820394,74499.5627401666,24318.9240043805
"DG 36_3",141350.507760114,87005.7529160053,71273.2768878392,71273.2768878392,223524.973258297,387270.617647466,473514.396323247,121912.318370366
"DG 38_1",12488.6839695275,12618.8333493546,11840.9053550274,13872.4731269625,7860.68074802649,8743.03737327956,9513.54906936368,10866.8464510759
"DG 42_1",170896.657612624,152548.141497764,117834.275494868,138334.780008591,55419.8712241161,57845.1879812337,66257.3182483344,107262.312485813
"DG 38_4",1232916.63256369,873649.246921088,937247.526570316,817013.140585522,443608.815411446,325851.575914495,714911.878151464,738235.701981288
"DG 32_2",47317.5833278387,21891.5537184833,15903.1636719416,19550.4786983602,16789.57049199,17983.8299036484,31911.2149348523,9081.68863387421
"DG 38_5",26862.5909896027,22544.1877704726,18352.1386873316,22877.4895171125,16461.9185105772,17514.1100655277,32254.2506654743,13872.4731269625
"DG 42_5",818.182590978346,3759.98949699223,2347.39096477112,1992.22622139065,5296.8660515496,2995.74208859765,3515.55305378852,3818.53011743654
"DG 40_2",7294.55431427239,6016.07480905237,9413.31698330455,8643.23297631198,2805.82042661492,3443.64112843136,6608.62976664637,6905.43634838432
"DG 36_2",294671.854636573,236581.254552268,273593.712628702,216662.892799858,349702.387293389,473514.396323247,656031.417080701,294671.854636573
"DG 36_0",2329331.55866882,3835179.60198713,3218141.73962487,2862450.72438281,5772658.72700205,5772658.72700205,4850288.45298836,2329331.55866882
"DG 32_0",11273.4736028691,17514.1100655277,28581.5931744224,16461.9185105772,70138.2473968135,43127.956453077,38115.5030990945,29882.8347307373
"DG 40_5",13021.0867705264,13146.3545478315,15320.5179280477,11034.533699935,9197.27529763568,8940.03285088057,10333.3513768161,10084.5243079081
"DG 32_1",23507.9832798941,14972.2221675654,12781.7273109445,18187.6939136266,13311.2638896907,19028.7732969402,24318.9240043805,10333.3513768161
"DG 38_3",135780.63468126,103984.583455646,123658.23604849,114832.463512575,52725.2571325448,37365.7036328191,80589.2574650181,74499.5627401666
"DG 36_1",253046.948715379,246152.157378492,310104.381309937,265090.481626636,230154.557420029,147710.638309571,200904.581953389,216662.892799858
"DG 36_4",61008.804468095,55419.8712241161,51873.638520381,60166.5128489118,39556.1177807976,87005.7529160053,114832.463512575,32254.2506654743
"DG 40_1",43871.1143900149,34190.1335949228,30553.0861994212,34730.4902446366,14040.7586622347,18187.6939136266,20335.218871122,24853.3908896281
"DG 38_7",1854.63901314069,993.774257288947,940.261813181366,1580.02568520813,1627.74608298836,1627.74608298836,2805.82042661492,2142.46085230216
"DG 42_2",31366.7141337358,30235.1958660684,20723.8087261491,30997.9822217921,13021.0867705264,11273.4736028691,18352.1386873316,14673.5522850476
