"Lipid","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289"
"DG 36_2",249349.9543385,171136.182335375,134306.796007648,399352.741034576,460567.265636538,418549.407143566,317548.760513688,418549.407143566
"DG 38_4",643967.830815935,738451.164603208,483347.455908846,643967.830815935,399352.741034576,738451.164603208,981235.41875302,981235.41875302
"DG 40_2",6031.35248547829,5709.26815810453,7336.89093972719,7255.06986852259,4227.6771360103,5328.57750433796,10401.9637199263,9416.59510423303
"DG 36_0",5699105.41038844,5699105.41038844,5699105.41038844,5699105.41038844,4554541.67677882,5699105.41038844,4554541.67677882,5699105.41038844
"DG 36_4",41438.2234282091,28612.7618329656,34456.8532031332,62677.1321799159,43848.29694985,84641.5328138281,43848.29694985,43848.29694985
"DG 34_0",1112769.86069723,1885919.29891904,882924.435937889,981235.41875302,1112769.86069723,643967.830815935,643967.830815935,527378.320838548
"DG 32_1",14543.3204732565,13984.4095312442,19107.0742967328,39141.4854023907,9899.93580826725,16835.2401729163,8755.32397202284,16835.2401729163
"DG 42_2",16835.2401729163,16835.2401729163,18761.9872683988,12191.6102211143,17574.2614698076,22048.5671389104,27140.0555033059,24364.8481559943
"DG 40_5",7147.95040523972,7650.31919781937,10708.3605223592,9146.55825922703,7443.45383524768,7443.45383524768,11400.689235685,15027.1406563997
"DG 40_1",20499.2304299225,22426.4691104843,22048.5671389104,19318.2717729633,24364.8481559943,25566.3418233348,35058.1582150506,30098.7967820094
"DG 36_1",262934.409024127,317548.760513688,145887.157294554,190622.324347271,184029.606908086,199472.742024728,212232.660522217,190622.324347271
"DG 38_7",1821.37709910414,1541.08910829682,400.502370768594,3368.02432613006,781.688569825783,1366.40082076778,893.925910740501,550.218683648402
"DG 32_0",37829.2298220984,60911.4337591323,33357.6917264466,35687.5315995651,42890.1167258328,29070.8716162906,22426.4691104843,21701.6136049083
"DG 38_3",84641.5328138281,75897.8002485659,59352.6711444856,57697.3600365239,62677.1321799159,93786.8802149398,127405.476958191,111807.146445088
"DG 38_2",12424.5890532244,10584.6427257966,9899.93580826725,15283.1046805948,18524.6320329948,17160.2916295025,26756.59928707,18265.904885922
"DG 40_6",13764.0908345176,9899.93580826725,9250.23511778647,14543.3204732565,11220.6903621017,12191.6102211143,17957.4078630268,11901.90028519
"DG 38_0",100400.488359773,159510.921494059,78694.4983954365,81449.0277045762,89738.1247179249,47712.353079771,50349.9660036893,45700.5340760607
"DG 40_0",60911.4337591323,96361.5720936196,50349.9660036893,42890.1167258328,59352.6711444856,30098.7967820094,34456.8532031332,28612.7618329656
"DG 38_6",8153.90939767922,7147.95040523972,7255.06986852259,11901.90028519,10025.0998675436,9025.33851411094,9146.55825922703,13122.4901870354
"DG 40_4",31845.302971997,27642.6323399554,22917.9249741881,15976.4417074473,18265.904885922,31845.302971997,41438.2234282091,31845.302971997
"DG 30_1",2320.53770503878,3129.69971796825,4038.99551503691,7650.31919781937,1081.25945312114,1541.08910829682,241.935631038523,400.502370768594
"DG 42_3",4425.88407080927,4626.67166662418,4227.6771360103,3424.19677856288,6932.73372785614,5564.1832631553,5241.13631563334,4879.91050665871
"DG 44_2",3719.24556497706,4100.14813598772,4100.14813598772,3236.3323336149,3187.40349825349,4347.40300235404,4681.73387176678,3719.24556497706
"DG 42_4",5564.1832631553,5241.13631563334,4934.03800334503,4425.88407080927,6692.01843259977,8153.90939767922,9539.55120058464,7992.42248318314
"DG 42_0",7443.45383524768,12602.7594101332,4879.91050665871,8755.32397202284,8306.27288841959,8414.57584326696,6129.8949135152,8153.90939767922
"DG 44_1",3989.04839581373,3611.62470660732,6767.31128303579,1588.42050605797,4425.88407080927,4425.88407080927,3674.55999256227,5328.57750433796
"DG 30_2",2726.15351762138,4038.99551503691,2975.33648175349,9761.45001253696,1144.10739730656,2675.37538399767,1916.8297425348,4567.15900552582
"DG 44_6",6932.73372785614,11901.90028519,6214.74897190306,3674.55999256227,7650.31919781937,7992.42248318314,9656.42026533208,2868.67679630882
"lysoPC 16_0",418549.407143566,399352.741034576,418549.407143566,418549.407143566,349336.505786575,382729.005273053,483347.455908846,501264.134936585
"lysoPC 18_2",26756.59928707,17392.416406866,35058.1582150506,38502.1757732035,42125.3483244454,60911.4337591323,81449.0277045762,71534.9288025654
"lysoPC 18_1",301137.914916468,177378.456157861,262934.409024127,227051.026011725,212232.660522217,262934.409024127,301137.914916468,281192.863652447
"lysoPC 20_3",42890.1167258328,20812.672451651,28171.2457107318,93786.8802149398,40723.3977358019,33855.2150065753,89738.1247179249,84641.5328138281
"lysoPC 18_0",190622.324347271,150964.942365057,190622.324347271,334764.905306531,281192.863652447,281192.863652447,281192.863652447,262934.409024127
"lysoPC 22_1",4176.99837683462,4934.03800334503,5804.77285342986,3896.55084432167,3611.62470660732,5241.13631563334,6932.73372785614,5398.7852010843
"lysoPC 20_1",4347.40300235404,4425.88407080927,7909.70070228872,5804.77285342986,4100.14813598772,6692.01843259977,11073.8302538504,9899.93580826725
"lysoPC 22_5",5398.7852010843,2433.2690594929,6129.8949135152,13433.7483605795,6476.05039304402,2781.24650031333,10165.6694286606,14273.0395612304
"lysoPC 20_2",4100.14813598772,4176.99837683462,3547.05630671208,3611.62470660732,6853.65228039922,8306.27288841959,8628.29676237836,7909.70070228872
"lysoPC 26_0",10165.6694286606,10871.1086945871,10584.6427257966,6932.73372785614,9025.33851411094,11220.6903621017,8414.57584326696,10871.1086945871
"lysoPC 20_5",729.589226984527,1012.87486111436,1588.42050605797,2227.83847466196,2007.00597325142,1916.8297425348,2824.90569365922,2931.00125011162
"lysoPC 24_0",145887.157294554,134306.796007648,184029.606908086,134306.796007648,165366.941305688,212232.660522217,199472.742024728,199472.742024728
"lysoPC 26_1",3368.02432613006,3236.3323336149,4681.73387176678,2675.37538399767,3768.93424168295,3187.40349825349,6303.51102655984,5642.88961301532
"lysoPE 18_1",399352.741034576,301137.914916468,334764.905306531,249349.9543385,317548.760513688,334764.905306531,399352.741034576,399352.741034576
"lysoPE 22_6",18761.9872683988,13433.7483605795,18524.6320329948,32362.2856604165,22917.9249741881,25188.667608948,42125.3483244454,41438.2234282091
"lysoPE 20_1",5170.13709765077,4879.91050665871,6303.51102655984,4277.33128417099,2824.90569365922,5170.13709765077,7761.56073148846,7147.95040523972
"lysoPE 16_0",28171.2457107318,26249.1555971962,32362.2856604165,27140.0555033059,26756.59928707,31442.2488365665,36296.6832188317,38502.1757732035
"lysoPE 18_0",2607.30390174855,3719.24556497706,3817.60194751852,3817.60194751852,3696.90277876967,3989.04839581373,3989.04839581373,4227.6771360103
"lysoPE 24_4",2868.67679630882,2279.23532246581,4347.40300235404,2490.8093889003,2675.37538399767,4980.30066002848,3896.55084432167,5804.77285342986
"lysoPE 22_5",4749.89136860154,3030.36700834498,7650.31919781937,7443.45383524768,4681.73387176678,4176.99837683462,7443.45383524768,7255.06986852259
"lysoPE 20_3",1366.40082076778,1144.10739730656,1763.1416266143,2156.37942301987,1963.46854508245,2227.83847466196,3547.05630671208,3896.55084432167
"lysoPE 20_2",1012.87486111436,1211.78807640315,1870.09942804688,781.688569825783,1418.91822062694,2156.37942301987,2117.41134444901,3129.69971796825
"lysoPE 14_0",781.688569825783,729.589226984527,597.438130830255,467.979926103747,400.502370768594,830.629705806644,1081.25945312114,1366.40082076778
"MG 18_0",882924.435937889,981235.41875302,981235.41875302,738451.164603208,790483.825317275,790483.825317275,738451.164603208,738451.164603208
"MG 22_0",9025.33851411094,10401.9637199263,10871.1086945871,9539.55120058464,10165.6694286606,9146.55825922703,9761.45001253696,6579.47330809975
"MG 20_4",13984.4095312442,2675.37538399767,6579.47330809975,4626.67166662418,10584.6427257966,6932.73372785614,4176.99837683462,6853.65228039922
"MG 18_2",7909.70070228872,8414.57584326696,5881.88540760956,8628.29676237836,11511.7284327243,7147.95040523972,7521.44196042592,8892.25825710858
"MG 16_0",10025.0998675436,14543.3204732565,11400.689235685,9025.33851411094,10401.9637199263,6476.05039304402,9250.23511778647,10584.6427257966
"PC 32_0",1234820.67653725,1112769.86069723,1506748.41479677,1234820.67653725,1234820.67653725,1506748.41479677,1234820.67653725,1506748.41479677
"PC 42_1",281192.863652447,281192.863652447,199472.742024728,150964.942365057,249349.9543385,177378.456157861,165366.941305688,145887.157294554
"PC 48_4",5804.77285342986,2490.8093889003,9025.33851411094,4879.91050665871,6579.47330809975,7909.70070228872,9025.33851411094,9761.45001253696
"PC 40_6",81449.0277045762,81449.0277045762,104090.919482063,301137.914916468,121471.51966599,100400.488359773,69576.7601220614,89738.1247179249
"PC 38_1",738451.164603208,527378.320838548,643967.830815935,527378.320838548,527378.320838548,501264.134936585,790483.825317275,790483.825317275
"PC 32_1",1885919.29891904,1506748.41479677,2113876.57185155,1885919.29891904,981235.41875302,1234820.67653725,1506748.41479677,1112769.86069723
"PC 38_6",981235.41875302,790483.825317275,1112769.86069723,1112769.86069723,1506748.41479677,1112769.86069723,1112769.86069723,1234820.67653725
"PC 38_3",56627.3693233835,48946.973562115,69576.7601220614,55093.0072476975,60911.4337591323,73860.6129032848,66207.6842627991,73860.6129032848
"PC 44_4",212232.660522217,212232.660522217,165366.941305688,145887.157294554,190622.324347271,150964.942365057,150964.942365057,134306.796007648
"PC 40_8",46717.1235449292,24364.8481559943,60911.4337591323,117866.977681102,73860.6129032848,51683.3040683137,111807.146445088,108936.095583913
"PC 38_2",62677.1321799159,64255.024265003,51683.3040683137,56627.3693233835,50349.9660036893,45700.5340760607,57697.3600365239,62677.1321799159
"PC 40_1",75897.8002485659,73860.6129032848,55093.0072476975,45700.5340760607,75897.8002485659,56627.3693233835,46717.1235449292,40723.3977358019
"PC 36_4",8306.27288841959,11073.8302538504,9539.55120058464,8153.90939767922,7255.06986852259,6031.35248547829,5470.57429724871,6692.01843259977
"PC 46_6",11073.8302538504,5642.88961301532,7147.95040523972,7014.06656003568,13984.4095312442,12953.4281950997,11220.6903621017,10708.3605223592
"PC 42_5",6853.65228039922,11400.689235685,4176.99837683462,12602.7594101332,8628.29676237836,6853.65228039922,6853.65228039922,7014.06656003568
"PC 34_4",22426.4691104843,6692.01843259977,66207.6842627991,15776.9599027708,32759.5566592425,28612.7618329656,32362.2856604165,22917.9249741881
"PC 44_12",9416.59510423303,5060.742726822,8501.97187969049,8414.57584326696,9250.23511778647,13764.0908345176,17574.2614698076,14543.3204732565
"PC 42_9",6394.59740608442,3989.04839581373,7761.56073148846,7992.42248318314,10708.3605223592,3465.96257684991,7336.89093972719,4934.03800334503
"PC 40_3",27140.0555033059,20266.5189456207,21130.2726736133,19107.0742967328,16541.6503930982,17574.2614698076,24808.7812819412,23252.0507061844
"PC 40_4",21130.2726736133,34456.8532031332,37070.3832857624,36296.6832188317,29551.3434109173,21130.2726736133,19597.2107659782,20499.2304299225
"PC 36_1",241.935631038523,550.218683648402,1012.87486111436,300.633994009659,241.935631038523,300.633994009659,467.979926103747,241.935631038523
"PC 30_1",3817.60194751852,2557.86154264857,3236.3323336149,4749.89136860154,2931.00125011162,3312.08530063188,4934.03800334503,3424.19677856288
"PC 42_2",37070.3832857624,37829.2298220984,29551.3434109173,21429.9360520325,25566.3418233348,35058.1582150506,30998.7906852614,28171.2457107318
"PC 38_8",2279.23532246581,3083.0621834923,3674.55999256227,2975.33648175349,1211.78807640315,1081.25945312114,2374.24151420868,2279.23532246581
"PC 34_2",15283.1046805948,19597.2107659782,15776.9599027708,12036.3041031809,19107.0742967328,12424.5890532244,11669.9680819941,17574.2614698076
"PC 46_4",17392.416406866,19107.0742967328,19877.2411279776,13622.674386754,17160.2916295025,26756.59928707,22048.5671389104,26249.1555971962
"PC 30_3",1963.46854508245,2868.67679630882,2931.00125011162,1763.1416266143,1541.08910829682,1644.53154884249,2067.9050962259,2007.00597325142
"PC 28_0",1870.09942804688,2156.37942301987,2726.15351762138,2374.24151420868,1261.3328379457,1763.1416266143,2607.30390174855,1705.5254904802
"PC 34_1",4567.15900552582,7014.06656003568,8306.27288841959,6853.65228039922,6767.31128303579,3129.69971796825,7909.70070228872,4176.99837683462
"PC 42_4",25566.3418233348,24808.7812819412,25188.667608948,13122.4901870354,22426.4691104843,36296.6832188317,28171.2457107318,31442.2488365665
"PC 32_4",3465.96257684991,4980.30066002848,3083.0621834923,2726.15351762138,3465.96257684991,2067.9050962259,1821.37709910414,2156.37942301987
"PC 46_1",3236.3323336149,2781.24650031333,4626.67166662418,7336.89093972719,2557.86154264857,4484.22061029023,3312.08530063188,2067.9050962259
"PC 38_7",2227.83847466196,597.438130830255,2117.41134444901,1705.5254904802,1705.5254904802,893.925910740501,1366.40082076778,1963.46854508245
"PC 32_3",7761.56073148846,3547.05630671208,5642.88961301532,4980.30066002848,5398.7852010843,4749.89136860154,7992.42248318314,6303.51102655984
"PC 42_7",4812.19203976419,4681.73387176678,3465.96257684991,4812.19203976419,3312.08530063188,3719.24556497706,4277.33128417099,4812.19203976419
"plasmenyl-PC 22_0",300.633994009659,241.935631038523,241.935631038523,122.617631415061,550.218683648402,400.502370768594,597.438130830255,729.589226984527
"plasmenyl-PC 24_0",946.715805137213,664.964195031568,467.979926103747,893.925910740501,1012.87486111436,1012.87486111436,781.688569825783,830.629705806644
"PE 44_1",514321.227887567,492305.795422715,514321.227887567,492305.795422715,492305.795422715,471957.360772692,514321.227887567,326156.83291011
"PE 36_1",460567.265636538,418549.407143566,460567.265636538,382729.005273053,418549.407143566,349336.505786575,418549.407143566,349336.505786575
"PE 42_2",57697.3600365239,51683.3040683137,42125.3483244454,35058.1582150506,64255.024265003,69576.7601220614,73860.6129032848,59352.6711444856
"PE 36_4",96361.5720936196,121471.51966599,89738.1247179249,96361.5720936196,100400.488359773,115070.968398203,134306.796007648,127405.476958191
"PE 38_5",349336.505786575,227051.026011725,301137.914916468,212232.660522217,227051.026011725,227051.026011725,334764.905306531,249349.9543385
"PE 42_1",317548.760513688,349336.505786575,399352.741034576,281192.863652447,334764.905306531,309343.337715078,262934.409024127,227051.026011725
"PE 36_5",25188.667608948,14273.0395612304,26756.59928707,18761.9872683988,13122.4901870354,15283.1046805948,24364.8481559943,16541.6503930982
"PE 34_2",150964.942365057,111807.146445088,171136.182335375,108936.095583913,127405.476958191,165366.941305688,171136.182335375,150964.942365057
"PE 38_4",19737.2259469779,9478.07315240884,38821.8305877971,25696.8490434775,19457.7412694708,18643.3096506968,20971.4725626322,33606.453366511
"PE 38_1",39693.2158278092,37070.3832857624,35687.5315995651,28171.2457107318,39141.4854023907,42125.3483244454,45700.5340760607,50349.9660036893
"PE 36_3",115070.968398203,93786.8802149398,117866.977681102,78694.4983954365,150964.942365057,184029.606908086,227051.026011725,184029.606908086
"PE 34_3",12953.4281950997,11669.9680819941,19597.2107659782,14779.9017017912,14273.0395612304,15976.4417074473,23964.2018715607,18524.6320329948
"PE 40_2",33357.6917264466,21701.6136049083,24364.8481559943,28612.7618329656,35687.5315995651,33357.6917264466,39141.4854023907,35687.5315995651
"PE 40_4",27642.6323399554,25188.667608948,31845.302971997,17957.4078630268,29070.8716162906,27140.0555033059,31442.2488365665,27642.6323399554
"PE 42_5",8414.57584326696,5398.7852010843,11901.90028519,6129.8949135152,4879.91050665871,6303.51102655984,10025.0998675436,4681.73387176678
"PE 42_3",9146.55825922703,12765.0149216246,8414.57584326696,4681.73387176678,12424.5890532244,13122.4901870354,12953.4281950997,9539.55120058464
"PE 38_6",171136.182335375,127405.476958191,115070.968398203,184029.606908086,262934.409024127,127405.476958191,177378.456157861,159510.921494059
"PE 44_3",7650.31919781937,10025.0998675436,5060.742726822,3989.04839581373,5709.26815810453,10708.3605223592,5881.88540760956,8755.32397202284
"PE 32_1",12602.7594101332,18265.904885922,16835.2401729163,12765.0149216246,11400.689235685,11901.90028519,15776.9599027708,11669.9680819941
"PE 40_5",40723.3977358019,30098.7967820094,46717.1235449292,50349.9660036893,38502.1757732035,32362.2856604165,38502.1757732035,39693.2158278092
"PE 30_1",467.979926103747,400.502370768594,664.964195031568,1211.78807640315,467.979926103747,241.935631038523,550.218683648402,597.438130830255
"PE 32_2",2675.37538399767,1916.8297425348,5241.13631563334,2824.90569365922,2156.37942301987,1821.37709910414,2007.00597325142,1541.08910829682
"PE 40_3",10269.0035719441,7521.44196042592,5564.1832631553,2279.23532246581,7014.06656003568,5060.742726822,5398.7852010843,7521.44196042592
"plasmenyl-PE 36_1",2755533.31492809,2113876.57185155,1885919.29891904,1506748.41479677,2113876.57185155,1885919.29891904,1885919.29891904,2755533.31492809
"plasmenyl-PE 34_2",134306.796007648,100400.488359773,127405.476958191,89738.1247179249,104090.919482063,104090.919482063,96361.5720936196,93786.8802149398
"plasmenyl-PE 40_1",36296.6832188317,31442.2488365665,48946.973562115,30098.7967820094,31442.2488365665,35687.5315995651,59352.6711444856,42890.1167258328
"plasmenyl-PE 38_6",111807.146445088,84641.5328138281,100400.488359773,100400.488359773,134306.796007648,159510.921494059,159510.921494059,165366.941305688
"plasmenyl-PE 22_0",3547.05630671208,2975.33648175349,3989.04839581373,3312.08530063188,3424.19677856288,5804.77285342986,5709.26815810453,7336.89093972719
"plasmenyl-PE 40_4",127405.476958191,108936.095583913,177378.456157861,84641.5328138281,145887.157294554,171136.182335375,184029.606908086,177378.456157861
"plasmenyl-PE 36_2",12765.0149216246,22048.5671389104,15976.4417074473,9899.93580826725,13764.0908345176,5956.97028339901,15283.1046805948,8414.57584326696
"plasmenyl-PE 38_2",38502.1757732035,33357.6917264466,33855.2150065753,26249.1555971962,30567.0658287001,28171.2457107318,37829.2298220984,26756.59928707
"plasmenyl-PE 42_4",39141.4854023907,33855.2150065753,40723.3977358019,23964.2018715607,36296.6832188317,41438.2234282091,42890.1167258328,47712.353079771
"plasmenyl-PE 38_1",73860.6129032848,56627.3693233835,57697.3600365239,44618.4280694884,78694.4983954365,89738.1247179249,100400.488359773,78694.4983954365
"plasmenyl-PE 32_1",22917.9249741881,25566.3418233348,32759.5566592425,13764.0908345176,12765.0149216246,17957.4078630268,30567.0658287001,25188.667608948
"plasmenyl-PE 40_2",31442.2488365665,23633.1281659734,24808.7812819412,14273.0395612304,25827.3562636203,23633.1281659734,37070.3832857624,25827.3562636203
"plasmenyl-PE 34_1",8628.29676237836,38502.1757732035,4567.15900552582,4176.99837683462,4812.19203976419,4626.67166662418,3236.3323336149,3187.40349825349
"SM 34_2",7336.89093972719,5328.57750433796,7443.45383524768,6214.74897190306,7909.70070228872,8892.25825710858,9899.93580826725,10025.0998675436
"SM 34_1",1506748.41479677,2755533.31492809,2755533.31492809,2113876.57185155,1885919.29891904,2755533.31492809,2113876.57185155,1885919.29891904
"SM 36_0",159510.921494059,262934.409024127,249349.9543385,199472.742024728,159510.921494059,117866.977681102,115070.968398203,117866.977681102
"SM 36_1",790483.825317275,882924.435937889,1234820.67653725,790483.825317275,882924.435937889,981235.41875302,882924.435937889,882924.435937889
"SM 32_1",17574.2614698076,15283.1046805948,23252.0507061844,16541.6503930982,17392.416406866,22426.4691104843,28612.7618329656,23633.1281659734
"SM 40_1",34456.8532031332,23964.2018715607,29070.8716162906,25188.667608948,28612.7618329656,42890.1167258328,60911.4337591323,57697.3600365239
"SM 42_2",14273.0395612304,12036.3041031809,27642.6323399554,24808.7812819412,23252.0507061844,10584.6427257966,16541.6503930982,32759.5566592425
"SM 32_0",2433.2690594929,2320.53770503878,3187.40349825349,2117.41134444901,1870.09942804688,4812.19203976419,3368.02432613006,2781.24650031333
"SM 30_1",830.629705806644,781.688569825783,830.629705806644,597.438130830255,597.438130830255,597.438130830255,729.589226984527,664.964195031568
"SM 42_1",43848.29694985,67729.5447507206,44618.4280694884,41438.2234282091,53213.455248384,24364.8481559943,25188.667608948,21130.2726736133
"SM 38_1",5060.742726822,7992.42248318314,4980.30066002848,5398.7852010843,4038.99551503691,4681.73387176678,6579.47330809975,4100.14813598772
"TG 50_3",3459568.70113759,4749237.54018997,4749237.54018997,4749237.54018997,2755533.31492809,3459568.70113759,2755533.31492809,3459568.70113759
"TG 56_3",483347.455908846,460567.265636538,159510.921494059,882924.435937889,643967.830815935,527378.320838548,382729.005273053,382729.005273053
"TG 54_7",139440.374509839,199472.742024728,67729.5447507206,349336.505786575,382729.005273053,399352.741034576,249349.9543385,483347.455908846
"TG 54_3",4203273.10270997,3655786.61488936,3655786.61488936,4203273.10270997,5224171.4752892,4651889.6084844,5224171.4752892,4554541.67677882
"TG 58_3",66207.6842627991,36296.6832188317,23964.2018715607,111807.146445088,108936.095583913,121471.51966599,93786.8802149398,121471.51966599
"TG 50_2",78694.4983954365,18524.6320329948,5709.26815810453,104090.919482063,48946.973562115,57697.3600365239,56627.3693233835,460567.265636538
"TG 42_0",13122.4901870354,19877.2411279776,31442.2488365665,16278.4409881048,6214.74897190306,12036.3041031809,5564.1832631553,14779.9017017912
"TG 48_2",35058.1582150506,45700.5340760607,39693.2158278092,22426.4691104843,12036.3041031809,11511.7284327243,10708.3605223592,10165.6694286606
"TG 54_8",25827.3562636203,55093.0072476975,17160.2916295025,115070.968398203,35058.1582150506,44618.4280694884,33855.2150065753,64255.024265003
