"Lipid","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309"
"DG 36_2",334764.905306531,317548.760513688,301137.914916468,262934.409024127,227051.026011725,262934.409024127,483347.455908846,317548.760513688
"DG 38_4",1112769.86069723,1112769.86069723,1112769.86069723,1112769.86069723,738451.164603208,738451.164603208,981235.41875302,738451.164603208
"DG 40_2",11901.90028519,7761.56073148846,7761.56073148846,5060.742726822,9899.93580826725,5804.77285342986,9761.45001253696,8892.25825710858
"DG 36_0",5699105.41038844,5699105.41038844,5699105.41038844,5699105.41038844,5699105.41038844,3852004.52864112,5699105.41038844,5699105.41038844
"DG 36_4",78694.4983954365,71534.9288025654,75897.8002485659,75897.8002485659,50349.9660036893,89738.1247179249,64255.024265003,56627.3693233835
"DG 34_0",1506748.41479677,738451.164603208,501264.134936585,882924.435937889,790483.825317275,882924.435937889,790483.825317275,790483.825317275
"DG 32_1",31845.302971997,30098.7967820094,59352.6711444856,28612.7618329656,13433.7483605795,10871.1086945871,25566.3418233348,14543.3204732565
"DG 42_2",22426.4691104843,23964.2018715607,19877.2411279776,20812.672451651,20266.5189456207,17160.2916295025,22426.4691104843,20266.5189456207
"DG 40_5",10708.3605223592,12602.7594101332,8501.97187969049,11073.8302538504,4626.67166662418,11073.8302538504,13433.7483605795,9250.23511778647
"DG 40_1",33855.2150065753,40723.3977358019,35058.1582150506,35058.1582150506,35687.5315995651,28171.2457107318,33357.6917264466,37829.2298220984
"DG 36_1",382729.005273053,249349.9543385,227051.026011725,281192.863652447,150964.942365057,190622.324347271,281192.863652447,177378.456157861
"DG 38_7",1870.09942804688,300.633994009659,1081.25945312114,1479.8791606692,550.218683648402,664.964195031568,1211.78807640315,467.979926103747
"DG 32_0",57697.3600365239,33357.6917264466,35687.5315995651,34456.8532031332,30567.0658287001,37070.3832857624,39693.2158278092,47712.353079771
"DG 38_3",139440.374509839,89738.1247179249,96361.5720936196,104090.919482063,55093.0072476975,66207.6842627991,104090.919482063,93786.8802149398
"DG 38_2",26249.1555971962,19877.2411279776,20499.2304299225,13764.0908345176,12765.0149216246,18761.9872683988,21701.6136049083,15283.1046805948
"DG 40_6",20812.672451651,17957.4078630268,13984.4095312442,18265.904885922,11400.689235685,15544.6092995382,19107.0742967328,15976.4417074473
"DG 38_0",96361.5720936196,69576.7601220614,56627.3693233835,78694.4983954365,115070.968398203,111807.146445088,67729.5447507206,108936.095583913
"DG 40_0",53213.455248384,42890.1167258328,28612.7618329656,46717.1235449292,57697.3600365239,53213.455248384,42890.1167258328,73860.6129032848
"DG 38_6",13433.7483605795,10025.0998675436,10871.1086945871,9899.93580826725,7014.06656003568,5956.97028339901,15027.1406563997,10269.0035719441
"DG 40_4",56627.3693233835,35687.5315995651,31845.302971997,31845.302971997,14543.3204732565,23252.0507061844,31442.2488365665,27140.0555033059
"DG 30_1",4227.6771360103,3817.60194751852,11669.9680819941,4425.88407080927,781.688569825783,1418.91822062694,1821.37709910414,830.629705806644
"DG 42_3",3768.93424168295,2374.24151420868,4277.33128417099,3989.04839581373,2675.37538399767,4681.73387176678,6214.74897190306,4681.73387176678
"DG 44_2",7521.44196042592,3547.05630671208,3187.40349825349,2607.30390174855,2824.90569365922,3129.69971796825,3989.04839581373,3768.93424168295
"DG 42_4",8414.57584326696,5564.1832631553,4176.99837683462,6579.47330809975,3817.60194751852,4934.03800334503,3674.55999256227,6129.8949135152
"DG 42_0",6767.31128303579,7147.95040523972,5398.7852010843,7909.70070228872,11669.9680819941,7909.70070228872,7147.95040523972,13622.674386754
"DG 44_1",2067.9050962259,2156.37942301987,1418.91822062694,1541.08910829682,2781.24650031333,5398.7852010843,1144.10739730656,3424.19677856288
"DG 30_2",5709.26815810453,2868.67679630882,13122.4901870354,2726.15351762138,1366.40082076778,1821.37709910414,2117.41134444901,1541.08910829682
"DG 44_6",8153.90939767922,8892.25825710858,6031.35248547829,7014.06656003568,9250.23511778647,16541.6503930982,8892.25825710858,6394.59740608442
"lysoPC 16_0",418549.407143566,501264.134936585,643967.830815935,501264.134936585,382729.005273053,317548.760513688,399352.741034576,382729.005273053
"lysoPC 18_2",24364.8481559943,33855.2150065753,39141.4854023907,24364.8481559943,35058.1582150506,20812.672451651,48946.973562115,38502.1757732035
"lysoPC 18_1",317548.760513688,349336.505786575,349336.505786575,382729.005273053,249349.9543385,165366.941305688,301137.914916468,249349.9543385
"lysoPC 20_3",42125.3483244454,48946.973562115,45700.5340760607,38502.1757732035,39141.4854023907,23633.1281659734,32759.5566592425,31442.2488365665
"lysoPC 18_0",249349.9543385,301137.914916468,382729.005273053,349336.505786575,317548.760513688,199472.742024728,334764.905306531,349336.505786575
"lysoPC 22_1",4277.33128417099,6932.73372785614,5642.88961301532,5804.77285342986,4749.89136860154,3465.96257684991,4812.19203976419,4567.15900552582
"lysoPC 20_1",7761.56073148846,10584.6427257966,12424.5890532244,7992.42248318314,8501.97187969049,6394.59740608442,8628.29676237836,5881.88540760956
"lysoPC 22_5",5170.13709765077,4347.40300235404,6853.65228039922,2675.37538399767,2975.33648175349,2374.24151420868,3611.62470660732,3368.02432613006
"lysoPC 20_2",3465.96257684991,3674.55999256227,5956.97028339901,3611.62470660732,5328.57750433796,3768.93424168295,7336.89093972719,6853.65228039922
"lysoPC 26_0",6579.47330809975,6767.31128303579,5170.13709765077,5709.26815810453,7909.70070228872,10269.0035719441,5881.88540760956,8755.32397202284
"lysoPC 20_5",1588.42050605797,1479.8791606692,1763.1416266143,1211.78807640315,2007.00597325142,1366.40082076778,2675.37538399767,1588.42050605797
"lysoPC 24_0",117866.977681102,190622.324347271,249349.9543385,165366.941305688,184029.606908086,145887.157294554,199472.742024728,184029.606908086
"lysoPC 26_1",2726.15351762138,3187.40349825349,3547.05630671208,3083.0621834923,2868.67679630882,2557.86154264857,2557.86154264857,2824.90569365922
"lysoPE 18_1",281192.863652447,281192.863652447,281192.863652447,317548.760513688,212232.660522217,184029.606908086,262934.409024127,227051.026011725
"lysoPE 22_6",21130.2726736133,25188.667608948,29551.3434109173,20499.2304299225,21701.6136049083,12765.0149216246,21429.9360520325,19877.2411279776
"lysoPE 20_1",3424.19677856288,8306.27288841959,6476.05039304402,4812.19203976419,5060.742726822,3312.08530063188,6129.8949135152,3465.96257684991
"lysoPE 16_0",23633.1281659734,38502.1757732035,42890.1167258328,41438.2234282091,48946.973562115,29551.3434109173,37829.2298220984,39141.4854023907
"lysoPE 18_0",3696.90277876967,5642.88961301532,6579.47330809975,6394.59740608442,7761.56073148846,5642.88961301532,4879.91050665871,6214.74897190306
"lysoPE 24_4",2156.37942301987,1870.09942804688,2781.24650031333,1821.37709910414,2557.86154264857,2675.37538399767,1763.1416266143,2781.24650031333
"lysoPE 22_5",4749.89136860154,3611.62470660732,4100.14813598772,3719.24556497706,3547.05630671208,3030.36700834498,4749.89136860154,3129.69971796825
"lysoPE 20_3",1763.1416266143,1821.37709910414,2067.9050962259,664.964195031568,2117.41134444901,1541.08910829682,2227.83847466196,1963.46854508245
"lysoPE 20_2",1012.87486111436,1144.10739730656,1366.40082076778,781.688569825783,1144.10739730656,1012.87486111436,1588.42050605797,1366.40082076778
"lysoPE 14_0",241.935631038523,946.715805137213,122.617631415061,241.935631038523,830.629705806644,1211.78807640315,300.633994009659,400.502370768594
"MG 18_0",790483.825317275,981235.41875302,882924.435937889,981235.41875302,981235.41875302,981235.41875302,738451.164603208,1112769.86069723
"MG 22_0",9899.93580826725,11669.9680819941,12765.0149216246,12765.0149216246,12953.4281950997,8414.57584326696,11901.90028519,13764.0908345176
"MG 20_4",729.589226984527,597.438130830255,3896.55084432167,729.589226984527,3719.24556497706,1081.25945312114,1012.87486111436,1012.87486111436
"MG 18_2",4681.73387176678,10165.6694286606,10025.0998675436,11400.689235685,17160.2916295025,9416.59510423303,8153.90939767922,8306.27288841959
