"Sample","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243"
"DG 36_2",301137.914916468,399352.741034576,334764.905306531,227051.026011725,317548.760513688,262934.409024127,301137.914916468,790483.825317275
"DG 38_4",1506748.41479677,738451.164603208,643967.830815935,1234820.67653725,1506748.41479677,418549.407143566,643967.830815935,643967.830815935
"DG 40_2",14273.0395612304,8628.29676237836,9416.59510423303,12953.4281950997,10401.9637199263,7443.45383524768,8153.90939767922,8306.27288841959
"DG 36_0",2755533.31492809,5699105.41038844,4554541.67677882,2113876.57185155,3459568.70113759,4554541.67677882,3852004.52864112,5699105.41038844
"DG 36_4",81449.0277045762,38502.1757732035,37070.3832857624,73860.6129032848,84641.5328138281,33855.2150065753,67729.5447507206,78694.4983954365
"DG 34_0",334764.905306531,981235.41875302,399352.741034576,262934.409024127,249349.9543385,249349.9543385,227051.026011725,738451.164603208
"DG 32_1",23252.0507061844,35687.5315995651,28171.2457107318,20812.672451651,9416.59510423303,15027.1406563997,12953.4281950997,31442.2488365665
"DG 42_2",26756.59928707,12424.5890532244,16835.2401729163,33855.2150065753,30567.0658287001,22048.5671389104,32362.2856604165,16541.6503930982
"DG 40_5",18265.904885922,11073.8302538504,10025.0998675436,12036.3041031809,18761.9872683988,6129.8949135152,8755.32397202284,8414.57584326696
"DG 40_1",39141.4854023907,18761.9872683988,23633.1281659734,44618.4280694884,43848.29694985,24364.8481559943,39141.4854023907,27140.0555033059
"DG 36_1",399352.741034576,262934.409024127,212232.660522217,249349.9543385,262934.409024127,177378.456157861,212232.660522217,227051.026011725
"DG 38_7",597.438130830255,664.964195031568,664.964195031568,893.925910740501,830.629705806644,729.589226984527,830.629705806644,1211.78807640315
"DG 32_0",17574.2614698076,30998.7906852614,21701.6136049083,17574.2614698076,14543.3204732565,19597.2107659782,13984.4095312442,37070.3832857624
"DG 38_3",190622.324347271,100400.488359773,127405.476958191,177378.456157861,165366.941305688,73860.6129032848,117866.977681102,93786.8802149398
"DG 38_2",29551.3434109173,24364.8481559943,25188.667608948,22048.5671389104,29070.8716162906,15776.9599027708,20499.2304299225,29551.3434109173
"DG 40_6",20499.2304299225,11220.6903621017,8306.27288841959,12191.6102211143,16835.2401729163,6853.65228039922,6767.31128303579,11901.90028519
"DG 38_0",30567.0658287001,64255.024265003,42125.3483244454,36296.6832188317,32362.2856604165,43848.29694985,40723.3977358019,59352.6711444856
"DG 40_0",20266.5189456207,32759.5566592425,25566.3418233348,25566.3418233348,22426.4691104843,27642.6323399554,27140.0555033059,39141.4854023907
"DG 38_6",15776.9599027708,7650.31919781937,8628.29676237836,9539.55120058464,12765.0149216246,7336.89093972719,12424.5890532244,9146.55825922703
"DG 40_4",62677.1321799159,31442.2488365665,31845.302971997,42890.1167258328,46717.1235449292,16541.6503930982,26249.1555971962,23252.0507061844
"DG 30_1",2156.37942301987,3896.55084432167,2824.90569365922,1144.10739730656,781.688569825783,781.688569825783,550.218683648402,550.218683648402
"DG 42_3",4176.99837683462,2781.24650031333,4038.99551503691,4749.89136860154,2675.37538399767,3817.60194751852,4749.89136860154,3989.04839581373
"DG 44_2",7443.45383524768,3817.60194751852,4176.99837683462,5398.7852010843,8501.97187969049,3187.40349825349,4347.40300235404,3083.0621834923
"DG 42_4",6767.31128303579,3129.69971796825,2490.8093889003,4626.67166662418,7147.95040523972,2726.15351762138,7443.45383524768,3030.36700834498
"DG 42_0",8755.32397202284,3030.36700834498,4879.91050665871,6767.31128303579,11511.7284327243,6932.73372785614,7014.06656003568,4812.19203976419
"DG 44_1",3030.36700834498,1418.91822062694,781.688569825783,2279.23532246581,4277.33128417099,1821.37709910414,3312.08530063188,1144.10739730656
"DG 30_2",3236.3323336149,5709.26815810453,3368.02432613006,1418.91822062694,1541.08910829682,1418.91822062694,1479.8791606692,4100.14813598772
"DG 44_6",4425.88407080927,6579.47330809975,6394.59740608442,5328.57750433796,9025.33851411094,7147.95040523972,6932.73372785614,6394.59740608442
"lysoPC 16_0",527378.320838548,501264.134936585,738451.164603208,738451.164603208,738451.164603208,527378.320838548,981235.41875302,382729.005273053
"lysoPC 18_2",50349.9660036893,42890.1167258328,55093.0072476975,59352.6711444856,96361.5720936196,67729.5447507206,89738.1247179249,43848.29694985
"lysoPC 18_1",738451.164603208,382729.005273053,483347.455908846,643967.830815935,790483.825317275,501264.134936585,738451.164603208,301137.914916468
"lysoPC 20_3",55093.0072476975,29070.8716162906,43848.29694985,53213.455248384,64255.024265003,37070.3832857624,59352.6711444856,25566.3418233348
"lysoPC 18_0",281192.863652447,317548.760513688,301137.914916468,334764.905306531,349336.505786575,317548.760513688,460567.265636538,317548.760513688
"lysoPC 22_1",12191.6102211143,7992.42248318314,10401.9637199263,13984.4095312442,17957.4078630268,14273.0395612304,18761.9872683988,5241.13631563334
"lysoPC 20_1",11400.689235685,10401.9637199263,13984.4095312442,15776.9599027708,19107.0742967328,13984.4095312442,19318.2717729633,5398.7852010843
"lysoPC 22_5",5804.77285342986,3768.93424168295,4567.15900552582,3768.93424168295,5709.26815810453,4425.88407080927,5881.88540760956,1963.46854508245
"lysoPC 20_2",9146.55825922703,5642.88961301532,6767.31128303579,6031.35248547829,10025.0998675436,6031.35248547829,11400.689235685,6031.35248547829
"lysoPC 26_0",7909.70070228872,9656.42026533208,7443.45383524768,8892.25825710858,8628.29676237836,12424.5890532244,11220.6903621017,10584.6427257966
"lysoPC 20_5",2824.90569365922,1541.08910829682,2726.15351762138,2931.00125011162,4038.99551503691,3611.62470660732,4626.67166662418,1705.5254904802
"lysoPC 24_0",212232.660522217,227051.026011725,281192.863652447,382729.005273053,281192.863652447,399352.741034576,527378.320838548,262934.409024127
"lysoPC 26_1",8153.90939767922,6129.8949135152,8501.97187969049,10584.6427257966,11901.90028519,10025.0998675436,13122.4901870354,4347.40300235404
"lysoPE 18_1",643967.830815935,418549.407143566,527378.320838548,790483.825317275,643967.830815935,643967.830815935,790483.825317275,349336.505786575
"lysoPE 22_6",34456.8532031332,22048.5671389104,30567.0658287001,40723.3977358019,47712.353079771,31845.302971997,46717.1235449292,19877.2411279776
"lysoPE 20_1",11220.6903621017,6692.01843259977,10269.0035719441,17160.2916295025,13764.0908345176,12036.3041031809,17957.4078630268,4879.91050665871
"lysoPE 16_0",45700.5340760607,35058.1582150506,39693.2158278092,64255.024265003,57697.3600365239,60911.4337591323,100400.488359773,33855.2150065753
"lysoPE 18_0",4038.99551503691,2156.37942301987,3236.3323336149,3424.19677856288,3368.02432613006,5241.13631563334,5642.88961301532,4277.33128417099
"lysoPE 24_4",4484.22061029023,2117.41134444901,3129.69971796825,7761.56073148846,4347.40300235404,6579.47330809975,6129.8949135152,2279.23532246581
"lysoPE 22_5",9899.93580826725,6767.31128303579,8414.57584326696,9025.33851411094,10871.1086945871,10708.3605223592,11511.7284327243,4567.15900552582
"lysoPE 20_3",4980.30066002848,300.633994009659,3719.24556497706,5564.1832631553,1588.42050605797,4176.99837683462,4681.73387176678,1261.3328379457
"lysoPE 20_2",2781.24650031333,1366.40082076778,2607.30390174855,3674.55999256227,2781.24650031333,4567.15900552582,4567.15900552582,1870.09942804688
"lysoPE 14_0",1644.53154884249,597.438130830255,1479.8791606692,2156.37942301987,3030.36700834498,2007.00597325142,3817.60194751852,400.502370768594
"MG 18_0",418549.407143566,790483.825317275,501264.134936585,460567.265636538,418549.407143566,460567.265636538,418549.407143566,1112769.86069723
"MG 22_0",8892.25825710858,9416.59510423303,11511.7284327243,10401.9637199263,18265.904885922,10871.1086945871,12602.7594101332,10269.0035719441
"MG 20_4",6476.05039304402,3611.62470660732,7336.89093972719,11073.8302538504,6692.01843259977,9146.55825922703,6476.05039304402,6932.73372785614
"MG 18_2",6932.73372785614,7014.06656003568,5956.97028339901,4879.91050665871,7443.45383524768,5881.88540760956,7255.06986852259,7761.56073148846
"MG 16_0",10269.0035719441,7909.70070228872,6932.73372785614,7255.06986852259,7992.42248318314,8755.32397202284,5470.57429724871,12191.6102211143
"PC 32_0",790483.825317275,1234820.67653725,1234820.67653725,1112769.86069723,882924.435937889,1112769.86069723,1112769.86069723,1234820.67653725
"PC 42_1",150964.942365057,184029.606908086,159510.921494059,184029.606908086,139440.374509839,159510.921494059,139440.374509839,177378.456157861
"PC 48_4",3817.60194751852,4626.67166662418,2781.24650031333,3719.24556497706,6853.65228039922,5956.97028339901,5956.97028339901,2726.15351762138
"PC 40_6",75897.8002485659,55093.0072476975,53213.455248384,42125.3483244454,44618.4280694884,46717.1235449292,42890.1167258328,71534.9288025654
"PC 38_1",1112769.86069723,643967.830815935,882924.435937889,882924.435937889,981235.41875302,738451.164603208,501264.134936585,460567.265636538
"PC 32_1",5699105.41038844,2755533.31492809,3459568.70113759,3852004.52864112,3852004.52864112,1506748.41479677,1885919.29891904,1506748.41479677
"PC 38_6",981235.41875302,527378.320838548,981235.41875302,418549.407143566,1112769.86069723,483347.455908846,399352.741034576,501264.134936585
"PC 38_3",60911.4337591323,57697.3600365239,51683.3040683137,55093.0072476975,71534.9288025654,48946.973562115,71534.9288025654,41438.2234282091
"PC 44_4",139440.374509839,150964.942365057,139440.374509839,159510.921494059,121471.51966599,145887.157294554,121471.51966599,73860.6129032848
