"Lipid","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218"
"DG 36_2",212232.660522217,301137.914916468,212232.660522217,399352.741034576,249349.9543385,262934.409024127,418549.407143566,249349.9543385
"DG 38_4",738451.164603208,527378.320838548,738451.164603208,501264.134936585,643967.830815935,882924.435937889,527378.320838548,882924.435937889
"DG 40_2",13122.4901870354,7255.06986852259,19877.2411279776,8306.27288841959,9899.93580826725,11901.90028519,6932.73372785614,15976.4417074473
"DG 36_0",3852004.52864112,2755533.31492809,3459568.70113759,5699105.41038844,3852004.52864112,5699105.41038844,4554541.67677882,4554541.67677882
"DG 36_4",53213.455248384,32759.5566592425,48946.973562115,64255.024265003,47712.353079771,45700.5340760607,31442.2488365665,50349.9660036893
"DG 34_0",249349.9543385,738451.164603208,262934.409024127,981235.41875302,281192.863652447,981235.41875302,1234820.67653725,212232.660522217
"DG 32_1",19877.2411279776,25827.3562636203,17392.416406866,34456.8532031332,11073.8302538504,3312.08530063188,10708.3605223592,12424.5890532244
"DG 42_2",34456.8532031332,15776.9599027708,33855.2150065753,15544.6092995382,30998.7906852614,41438.2234282091,12765.0149216246,34456.8532031332
"DG 40_5",9539.55120058464,7014.06656003568,11669.9680819941,8501.97187969049,9761.45001253696,12424.5890532244,7255.06986852259,9146.55825922703
"DG 40_1",48946.973562115,17574.2614698076,39693.2158278092,22048.5671389104,39693.2158278092,42890.1167258328,15544.6092995382,45700.5340760607
"DG 36_1",227051.026011725,184029.606908086,249349.9543385,227051.026011725,212232.660522217,349336.505786575,249349.9543385,199472.742024728
"DG 38_7",597.438130830255,729.589226984527,550.218683648402,400.502370768594,300.633994009659,241.935631038523,300.633994009659,300.633994009659
"DG 32_0",13622.674386754,26249.1555971962,14543.3204732565,41438.2234282091,11901.90028519,31442.2488365665,48946.973562115,13622.674386754
"DG 38_3",177378.456157861,62677.1321799159,171136.182335375,57697.3600365239,115070.968398203,100400.488359773,57697.3600365239,134306.796007648
"DG 38_2",28612.7618329656,12953.4281950997,22917.9249741881,21701.6136049083,24808.7812819412,22048.5671389104,21130.2726736133,22917.9249741881
"DG 40_6",9656.42026533208,7909.70070228872,7992.42248318314,10401.9637199263,7909.70070228872,11073.8302538504,10025.0998675436,9899.93580826725
"DG 38_0",42890.1167258328,69576.7601220614,43848.29694985,89738.1247179249,40723.3977358019,89738.1247179249,108936.095583913,44618.4280694884
"DG 40_0",23252.0507061844,36296.6832188317,33357.6917264466,42890.1167258328,28171.2457107318,71534.9288025654,62677.1321799159,30567.0658287001
"DG 38_6",7521.44196042592,6579.47330809975,7147.95040523972,8628.29676237836,7255.06986852259,9761.45001253696,5328.57750433796,10401.9637199263
"DG 40_4",30998.7906852614,14543.3204732565,30567.0658287001,17574.2614698076,25566.3418233348,31845.302971997,20499.2304299225,28171.2457107318
"DG 30_1",1479.8791606692,7443.45383524768,400.502370768594,7521.44196042592,1366.40082076778,1763.1416266143,1916.8297425348,467.979926103747
"DG 42_3",2931.00125011162,4626.67166662418,4425.88407080927,4277.33128417099,3368.02432613006,4347.40300235404,4626.67166662418,5642.88961301532
"DG 44_2",5956.97028339901,3674.55999256227,10165.6694286606,3030.36700834498,5956.97028339901,9416.59510423303,3129.69971796825,7336.89093972719
"DG 42_4",3236.3323336149,1366.40082076778,4812.19203976419,4484.22061029023,5060.742726822,6031.35248547829,2374.24151420868,4227.6771360103
"DG 42_0",9250.23511778647,4277.33128417099,4934.03800334503,3187.40349825349,11220.6903621017,12191.6102211143,5564.1832631553,8501.97187969049
"DG 44_1",2975.33648175349,3083.0621834923,4567.15900552582,550.218683648402,3424.19677856288,10584.6427257966,1418.91822062694,3817.60194751852
"DG 30_2",893.925910740501,2227.83847466196,1870.09942804688,5804.77285342986,1081.25945312114,729.589226984527,1479.8791606692,781.688569825783
"DG 44_6",8892.25825710858,7992.42248318314,4227.6771360103,7255.06986852259,6303.51102655984,7255.06986852259,7909.70070228872,7014.06656003568
"lysoPC 16_0",1234820.67653725,334764.905306531,882924.435937889,483347.455908846,790483.825317275,418549.407143566,382729.005273053,790483.825317275
"lysoPC 18_2",57697.3600365239,23252.0507061844,64255.024265003,46717.1235449292,69576.7601220614,44618.4280694884,35058.1582150506,75897.8002485659
"lysoPC 18_1",882924.435937889,212232.660522217,790483.825317275,334764.905306531,738451.164603208,382729.005273053,262934.409024127,738451.164603208
"lysoPC 20_3",39693.2158278092,11511.7284327243,37829.2298220984,39141.4854023907,37070.3832857624,25827.3562636203,21701.6136049083,39141.4854023907
"lysoPC 18_0",399352.741034576,171136.182335375,301137.914916468,317548.760513688,349336.505786575,281192.863652447,227051.026011725,382729.005273053
"lysoPC 22_1",19597.2107659782,4347.40300235404,15544.6092995382,5881.88540760956,13433.7483605795,9539.55120058464,4879.91050665871,16278.4409881048
"lysoPC 20_1",20499.2304299225,4980.30066002848,21701.6136049083,6031.35248547829,15776.9599027708,7761.56073148846,3817.60194751852,16835.2401729163
"lysoPC 22_5",3768.93424168295,2490.8093889003,3312.08530063188,6853.65228039922,3030.36700834498,2490.8093889003,3465.96257684991,3465.96257684991
"lysoPC 20_2",7336.89093972719,2433.2690594929,9025.33851411094,2726.15351762138,9250.23511778647,5642.88961301532,3989.04839581373,11511.7284327243
"lysoPC 26_0",11073.8302538504,12036.3041031809,15976.4417074473,8892.25825710858,12602.7594101332,21701.6136049083,11220.6903621017,16541.6503930982
"lysoPC 20_5",5564.1832631553,1763.1416266143,2726.15351762138,2156.37942301987,3768.93424168295,1963.46854508245,2433.2690594929,3129.69971796825
"lysoPC 24_0",418549.407143566,139440.374509839,349336.505786575,190622.324347271,382729.005273053,334764.905306531,159510.921494059,349336.505786575
"lysoPC 26_1",17160.2916295025,3719.24556497706,13433.7483605795,4812.19203976419,13764.0908345176,7336.89093972719,2868.67679630882,12953.4281950997
"lysoPE 18_1",1112769.86069723,281192.863652447,981235.41875302,382729.005273053,882924.435937889,483347.455908846,334764.905306531,981235.41875302
"lysoPE 22_6",41438.2234282091,13122.4901870354,40723.3977358019,25827.3562636203,35058.1582150506,24364.8481559943,17160.2916295025,37070.3832857624
"lysoPE 20_1",18524.6320329948,4484.22061029023,22426.4691104843,4879.91050665871,14779.9017017912,9146.55825922703,2557.86154264857,19597.2107659782
