"Sample","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266"
"DG 36_2",262934.409024127,227051.026011725,227051.026011725,212232.660522217,418549.407143566,460567.265636538,643967.830815935,281192.863652447
"DG 38_4",1112769.86069723,882924.435937889,981235.41875302,882924.435937889,501264.134936585,334764.905306531,738451.164603208,882924.435937889
"DG 40_2",7650.31919781937,6214.74897190306,9146.55825922703,8755.32397202284,2781.24650031333,3368.02432613006,6476.05039304402,6853.65228039922
"DG 36_0",2113876.57185155,3852004.52864112,3459568.70113759,3459568.70113759,5699105.41038844,5699105.41038844,4749237.54018997,2113876.57185155
"DG 36_4",67729.5447507206,62677.1321799159,46717.1235449292,62677.1321799159,36296.6832188317,78694.4983954365,115070.968398203,30567.0658287001
"DG 34_0",212232.660522217,334764.905306531,738451.164603208,281192.863652447,1506748.41479677,738451.164603208,501264.134936585,790483.825317275
"DG 32_1",25827.3562636203,15027.1406563997,12036.3041031809,19318.2717729633,12602.7594101332,18524.6320329948,24364.8481559943,10165.6694286606
"DG 42_2",32362.2856604165,30998.7906852614,18524.6320329948,30098.7967820094,12191.6102211143,10871.1086945871,17574.2614698076,13622.674386754
"DG 40_5",13764.0908345176,13122.4901870354,13433.7483605795,11220.6903621017,8755.32397202284,8755.32397202284,10165.6694286606,9899.93580826725
"DG 40_1",47712.353079771,35687.5315995651,27642.6323399554,34456.8532031332,12953.4281950997,17160.2916295025,20499.2304299225,22917.9249741881
"DG 36_1",227051.026011725,249349.9543385,281192.863652447,249349.9543385,281192.863652447,145887.157294554,199472.742024728,199472.742024728
"DG 38_7",1821.37709910414,1012.87486111436,946.715805137213,1588.42050605797,1588.42050605797,1644.53154884249,2781.24650031333,2156.37942301987
"DG 32_0",11901.90028519,18524.6320329948,25827.3562636203,16278.4409881048,67729.5447507206,43848.29694985,37070.3832857624,27642.6323399554
"DG 38_3",150964.942365057,111807.146445088,115070.968398203,115070.968398203,48946.973562115,37829.2298220984,78694.4983954365,81449.0277045762
"DG 38_2",17392.416406866,12191.6102211143,17574.2614698076,15976.4417074473,10401.9637199263,10165.6694286606,21701.6136049083,14779.9017017912
"DG 40_6",16541.6503930982,14273.0395612304,17160.2916295025,13622.674386754,9899.93580826725,9146.55825922703,18761.9872683988,12036.3041031809
"DG 38_0",31845.302971997,47712.353079771,39693.2158278092,28171.2457107318,100400.488359773,66207.6842627991,55093.0072476975,29070.8716162906
"DG 40_0",21429.9360520325,23633.1281659734,24364.8481559943,23633.1281659734,53213.455248384,42890.1167258328,30998.7906852614,17957.4078630268
"DG 38_6",13122.4901870354,11400.689235685,10708.3605223592,10584.6427257966,8414.57584326696,13764.0908345176,12424.5890532244,7909.70070228872
"DG 40_4",33357.6917264466,31845.302971997,42890.1167258328,32759.5566592425,19107.0742967328,12424.5890532244,22426.4691104843,37829.2298220984
"DG 30_1",2868.67679630882,3083.0621834923,2156.37942301987,2320.53770503878,1644.53154884249,2781.24650031333,1870.09942804688,1418.91822062694
"DG 42_3",2117.41134444901,1870.09942804688,4626.67166662418,4277.33128417099,3768.93424168295,4681.73387176678,7255.06986852259,3896.55084432167
"DG 44_2",7992.42248318314,5881.88540760956,5241.13631563334,5328.57750433796,2007.00597325142,1963.46854508245,2931.00125011162,6394.59740608442
"DG 42_4",9761.45001253696,6476.05039304402,9539.55120058464,8306.27288841959,6932.73372785614,5170.13709765077,7336.89093972719,5642.88961301532
"DG 42_0",5470.57429724871,9416.59510423303,7521.44196042592,10025.0998675436,7761.56073148846,3896.55084432167,4100.14813598772,7650.31919781937
"DG 44_1",3368.02432613006,2931.00125011162,5060.742726822,5170.13709765077,3547.05630671208,729.589226984527,1705.5254904802,4567.15900552582
"DG 30_2",4100.14813598772,3768.93424168295,2067.9050962259,2374.24151420868,4176.99837683462,2490.8093889003,3236.3323336149,1366.40082076778
"DG 44_6",3547.05630671208,7014.06656003568,12424.5890532244,7014.06656003568,6767.31128303579,8501.97187969049,5709.26815810453,9539.55120058464
"lysoPC 16_0",790483.825317275,738451.164603208,334764.905306531,790483.825317275,334764.905306531,418549.407143566,301137.914916468,317548.760513688
"lysoPC 18_2",39693.2158278092,37070.3832857624,19318.2717729633,30567.0658287001,21429.9360520325,53213.455248384,41438.2234282091,27140.0555033059
"lysoPC 18_1",738451.164603208,501264.134936585,262934.409024127,399352.741034576,177378.456157861,190622.324347271,212232.660522217,249349.9543385
"lysoPC 20_3",69576.7601220614,44618.4280694884,35058.1582150506,50349.9660036893,23964.2018715607,48946.973562115,29070.8716162906,22426.4691104843
"lysoPC 18_0",382729.005273053,317548.760513688,190622.324347271,301137.914916468,184029.606908086,317548.760513688,281192.863652447,177378.456157861
"lysoPC 22_1",7909.70070228872,6932.73372785614,4749.89136860154,6031.35248547829,2490.8093889003,2557.86154264857,3896.55084432167,5060.742726822
"lysoPC 20_1",16278.4409881048,12602.7594101332,6129.8949135152,11073.8302538504,3674.55999256227,4812.19203976419,5060.742726822,4626.67166662418
"lysoPC 22_5",6129.8949135152,3674.55999256227,4879.91050665871,6692.01843259977,2227.83847466196,10584.6427257966,3187.40349825349,3312.08530063188
"lysoPC 20_2",4681.73387176678,5709.26815810453,4176.99837683462,4227.6771360103,4980.30066002848,6031.35248547829,5956.97028339901,4934.03800334503
"lysoPC 26_0",15976.4417074473,14779.9017017912,12953.4281950997,13764.0908345176,11073.8302538504,11511.7284327243,12765.0149216246,12765.0149216246
"lysoPC 20_5",3236.3323336149,1418.91822062694,1821.37709910414,1963.46854508245,1012.87486111436,2868.67679630882,1366.40082076778,1763.1416266143
"lysoPC 24_0",281192.863652447,262934.409024127,111807.146445088,262934.409024127,121471.51966599,134306.796007648,177378.456157861,121471.51966599
"lysoPC 26_1",6214.74897190306,7255.06986852259,4277.33128417099,5956.97028339901,2433.2690594929,2931.00125011162,3424.19677856288,3424.19677856288
"lysoPE 18_1",643967.830815935,527378.320838548,418549.407143566,501264.134936585,317548.760513688,262934.409024127,262934.409024127,399352.741034576
"lysoPE 22_6",41438.2234282091,29551.3434109173,18265.904885922,26249.1555971962,15776.9599027708,24808.7812819412,21429.9360520325,18265.904885922
"lysoPE 20_1",10708.3605223592,8153.90939767922,5398.7852010843,7992.42248318314,2374.24151420868,3129.69971796825,4176.99837683462,5328.57750433796
"lysoPE 16_0",64255.024265003,51683.3040683137,22917.9249741881,53213.455248384,22426.4691104843,27140.0555033059,27140.0555033059,30098.7967820094
"lysoPE 18_0",6031.35248547829,4749.89136860154,3129.69971796825,4879.91050665871,3465.96257684991,4484.22061029023,4425.88407080927,2675.37538399767
"lysoPE 24_4",6476.05039304402,5398.7852010843,3611.62470660732,5881.88540760956,3817.60194751852,3424.19677856288,4038.99551503691,5398.7852010843
"lysoPE 22_5",9656.42026533208,6579.47330809975,3424.19677856288,5398.7852010843,2726.15351762138,7014.06656003568,4567.15900552582,4227.6771360103
"lysoPE 20_3",4425.88407080927,2824.90569365922,3768.93424168295,3674.55999256227,1821.37709910414,1916.8297425348,2227.83847466196,2557.86154264857
"lysoPE 20_2",1705.5254904802,1588.42050605797,2007.00597325142,1479.8791606692,1211.78807640315,1541.08910829682,2117.41134444901,2067.9050962259
"lysoPE 14_0",1366.40082076778,781.688569825783,1144.10739730656,2279.23532246581,893.925910740501,893.925910740501,550.218683648402,550.218683648402
"MG 18_0",527378.320838548,790483.825317275,790483.825317275,738451.164603208,1234820.67653725,981235.41875302,790483.825317275,738451.164603208
"MG 22_0",10269.0035719441,10025.0998675436,6853.65228039922,8153.90939767922,12036.3041031809,10401.9637199263,9025.33851411094,6031.35248547829
"MG 20_4",13433.7483605795,10708.3605223592,5470.57429724871,7521.44196042592,10025.0998675436,11901.90028519,11220.6903621017,7147.95040523972
"MG 18_2",7443.45383524768,7521.44196042592,6767.31128303579,5804.77285342986,10584.6427257966,12036.3041031809,7761.56073148846,5241.13631563334
"MG 16_0",6394.59740608442,9899.93580826725,8414.57584326696,7650.31919781937,11669.9680819941,11073.8302538504,8892.25825710858,11073.8302538504
"PC 32_0",1234820.67653725,1234820.67653725,1506748.41479677,1234820.67653725,1112769.86069723,1234820.67653725,1506748.41479677,1506748.41479677
"PC 42_1",117866.977681102,165366.941305688,349336.505786575,177378.456157861,301137.914916468,159510.921494059,184029.606908086,262934.409024127
"PC 48_4",8501.97187969049,7443.45383524768,5642.88961301532,6579.47330809975,5642.88961301532,5328.57750433796,4812.19203976419,8501.97187969049
"PC 40_6",75897.8002485659,100400.488359773,145887.157294554,96361.5720936196,93786.8802149398,100400.488359773,69576.7601220614,108936.095583913
"PC 38_1",501264.134936585,643967.830815935,643967.830815935,418549.407143566,483347.455908846,281192.863652447,418549.407143566,527378.320838548
"PC 32_1",3459568.70113759,2113876.57185155,2113876.57185155,2113876.57185155,981235.41875302,882924.435937889,1234820.67653725,1885919.29891904
"PC 38_6",981235.41875302,981235.41875302,1112769.86069723,1112769.86069723,790483.825317275,1506748.41479677,981235.41875302,1234820.67653725
"PC 38_3",71534.9288025654,69576.7601220614,73860.6129032848,69576.7601220614,55093.0072476975,50349.9660036893,66207.6842627991,59352.6711444856
"PC 44_4",111807.146445088,150964.942365057,301137.914916468,165366.941305688,227051.026011725,139440.374509839,165366.941305688,212232.660522217
"PC 40_8",78694.4983954365,57697.3600365239,59352.6711444856,64255.024265003,29070.8716162906,108936.095583913,42125.3483244454,32759.5566592425
"PC 38_2",56627.3693233835,55093.0072476975,81449.0277045762,67729.5447507206,51683.3040683137,35058.1582150506,46717.1235449292,93786.8802149398
"PC 40_1",31442.2488365665,67729.5447507206,96361.5720936196,57697.3600365239,75897.8002485659,39693.2158278092,48946.973562115,100400.488359773
"PC 36_4",3989.04839581373,4812.19203976419,13122.4901870354,7443.45383524768,23252.0507061844,7909.70070228872,6303.51102655984,25566.3418233348
"PC 46_6",12036.3041031809,10401.9637199263,14779.9017017912,12036.3041031809,9025.33851411094,9539.55120058464,10401.9637199263,11511.7284327243
"PC 42_5",10025.0998675436,8306.27288841959,11511.7284327243,12953.4281950997,7443.45383524768,7336.89093972719,5398.7852010843,10584.6427257966
"PC 34_4",42125.3483244454,29070.8716162906,11220.6903621017,30998.7906852614,13764.0908345176,19597.2107659782,14273.0395612304,8306.27288841959
"PC 44_12",28612.7618329656,21701.6136049083,9899.93580826725,19877.2411279776,5709.26815810453,7650.31919781937,9761.45001253696,8153.90939767922
"PC 42_9",9025.33851411094,4038.99551503691,7992.42248318314,4980.30066002848,4227.6771360103,10269.0035719441,6579.47330809975,4484.22061029023
"PC 40_3",18524.6320329948,15976.4417074473,25188.667608948,19597.2107659782,9656.42026533208,15027.1406563997,13622.674386754,17392.416406866
"PC 40_4",33855.2150065753,17957.4078630268,28612.7618329656,45700.5340760607,31442.2488365665,21130.2726736133,38502.1757732035,26756.59928707
"PC 36_1",550.218683648402,241.935631038523,300.633994009659,1261.3328379457,830.629705806644,1418.91822062694,467.979926103747,893.925910740501
"PC 30_1",4227.6771360103,2781.24650031333,4484.22061029023,2931.00125011162,3187.40349825349,1763.1416266143,2607.30390174855,1870.09942804688
"PC 42_2",4934.03800334503,16835.2401729163,71534.9288025654,29551.3434109173,37829.2298220984,20499.2304299225,24808.7812819412,25188.667608948
"PC 38_8",1144.10739730656,1916.8297425348,1418.91822062694,1821.37709910414,3236.3323336149,2726.15351762138,1763.1416266143,2490.8093889003
"PC 34_2",9146.55825922703,9656.42026533208,21130.2726736133,12191.6102211143,18761.9872683988,17574.2614698076,11669.9680819941,28612.7618329656
"PC 46_4",27140.0555033059,27642.6323399554,33855.2150065753,39693.2158278092,16278.4409881048,16278.4409881048,27642.6323399554,19318.2717729633
"PC 30_3",2675.37538399767,2156.37942301987,1644.53154884249,2490.8093889003,2868.67679630882,550.218683648402,1644.53154884249,1644.53154884249
"PC 28_0",2931.00125011162,2726.15351762138,1963.46854508245,2975.33648175349,2117.41134444901,597.438130830255,1541.08910829682,1588.42050605797
"PC 34_1",5398.7852010843,4879.91050665871,10025.0998675436,10401.9637199263,2824.90569365922,4879.91050665871,2279.23532246581,5709.26815810453
"PC 42_4",24808.7812819412,33357.6917264466,21429.9360520325,25188.667608948,26756.59928707,12602.7594101332,26756.59928707,19877.2411279776
"PC 32_4",4980.30066002848,2557.86154264857,2824.90569365922,2557.86154264857,4100.14813598772,2320.53770503878,2490.8093889003,1821.37709910414
"PC 46_1",2279.23532246581,2374.24151420868,6214.74897190306,3368.02432613006,5241.13631563334,4277.33128417099,5881.88540760956,6214.74897190306
"PC 38_7",597.438130830255,1644.53154884249,2781.24650031333,2607.30390174855,1541.08910829682,3083.0621834923,830.629705806644,1012.87486111436
"PC 32_3",6692.01843259977,6031.35248547829,4812.19203976419,4626.67166662418,2557.86154264857,5881.88540760956,4980.30066002848,3674.55999256227
"PC 42_7",4879.91050665871,7650.31919781937,9250.23511778647,7761.56073148846,6031.35248547829,3187.40349825349,3768.93424168295,5564.1832631553
"plasmenyl-PC 22_0",400.502370768594,300.633994009659,550.218683648402,550.218683648402,300.633994009659,400.502370768594,300.633994009659,400.502370768594
"plasmenyl-PC 24_0",2007.00597325142,1261.3328379457,664.964195031568,893.925910740501,597.438130830255,467.979926103747,664.964195031568,664.964195031568
"PE 44_1",342050.705546553,471957.360772692,492305.795422715,585673.075827242,391040.873153814,366032.755529814,391040.873153814,439558.336390052
"PE 36_1",418549.407143566,382729.005273053,527378.320838548,483347.455908846,460567.265636538,399352.741034576,334764.905306531,483347.455908846
"PE 42_2",48946.973562115,73860.6129032848,57697.3600365239,55093.0072476975,50349.9660036893,28171.2457107318,56627.3693233835,69576.7601220614
"PE 36_4",121471.51966599,134306.796007648,108936.095583913,104090.919482063,165366.941305688,67729.5447507206,96361.5720936196,115070.968398203
"PE 38_5",399352.741034576,349336.505786575,317548.760513688,317548.760513688,171136.182335375,177378.456157861,227051.026011725,301137.914916468
"PE 42_1",309343.337715078,291165.389284457,460567.265636538,366032.755529814,349336.505786575,301137.914916468,317548.760513688,382729.005273053
"PE 36_5",30998.7906852614,24364.8481559943,16278.4409881048,24808.7812819412,13622.674386754,13984.4095312442,15544.6092995382,12602.7594101332
"PE 34_2",190622.324347271,190622.324347271,159510.921494059,145887.157294554,104090.919482063,89738.1247179249,121471.51966599,134306.796007648
"PE 38_4",23084.9878401862,20971.4725626322,19737.2259469779,20971.4725626322,17483.3389383368,25377.5047161414,20071.8800367991,34757.5057090919
"PE 38_1",35058.1582150506,42890.1167258328,39141.4854023907,48946.973562115,33855.2150065753,23252.0507061844,39141.4854023907,46717.1235449292
"PE 36_3",165366.941305688,159510.921494059,117866.977681102,127405.476958191,117866.977681102,115070.968398203,139440.374509839,159510.921494059
"PE 34_3",19318.2717729633,15544.6092995382,12602.7594101332,17957.4078630268,9761.45001253696,11669.9680819941,13984.4095312442,12191.6102211143
"PE 40_2",36296.6832188317,33855.2150065753,34456.8532031332,33357.6917264466,22048.5671389104,15283.1046805948,23964.2018715607,42125.3483244454
"PE 40_4",23633.1281659734,25188.667608948,23633.1281659734,22917.9249741881,18524.6320329948,22426.4691104843,33855.2150065753,31845.302971997
"PE 42_5",4749.89136860154,6767.31128303579,6579.47330809975,6853.65228039922,5328.57750433796,4749.89136860154,6129.8949135152,7992.42248318314
"PE 42_3",11220.6903621017,8501.97187969049,9416.59510423303,8501.97187969049,8153.90939767922,8628.29676237836,8501.97187969049,10269.0035719441
"PE 38_6",108936.095583913,177378.456157861,177378.456157861,159510.921494059,159510.921494059,117866.977681102,104090.919482063,150964.942365057
"PE 44_3",5709.26815810453,5564.1832631553,5564.1832631553,4038.99551503691,7147.95040523972,5804.77285342986,7909.70070228872,11901.90028519
"PE 32_1",12765.0149216246,19877.2411279776,19107.0742967328,16541.6503930982,9146.55825922703,13122.4901870354,11400.689235685,16541.6503930982
"PE 40_5",50349.9660036893,34456.8532031332,32759.5566592425,42125.3483244454,24364.8481559943,40723.3977358019,25827.3562636203,35687.5315995651
"PE 30_1",1211.78807640315,597.438130830255,467.979926103747,597.438130830255,729.589226984527,300.633994009659,400.502370768594,781.688569825783
