Lipid	Adduct	RT	Class	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db+_2225	Ctrl_BKS_db+_2226	Ctrl_BKS_db+_2227	Ctrl_BKS_db+_2231	HF_BKS_db+_2239	HF_BKS_db+_2241	HF_BKS_db+_2242	HF_BKS_db+_2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db+_2273	Ctrl_BL6_db+_2274	Ctrl_BL6_db+_2275	Ctrl_BL6_db+_2279	HF_BL6_db+_2286	HF_BL6_db+_2287	HF_BL6_db+_2288	HF_BL6_db+_2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob+_2316	Ctrl_BTBR_ob+_2317	Ctrl_BTBR_ob+_2318	Ctrl_BTBR_ob+_2320	HF_BTBR_ob+_2329	HF_BTBR_ob+_2331	HF_BTBR_ob+_2333	HF_BTBR_ob+_2334
CerP 32:1	 [M-H]-	5.16	CerP	42.39283077	4864.33323	4688.092901	3210.206488	1653.838295	4610.938157	3385.701697	5265.227325	4861.099194	1736.360513	9008.673821	17225.15675	4325.849431	1696.538989	2556.310358	1044.557472	2579.43088	1925.825726	3558.588955	1611.848927	2709.592383	2144.281592	1815.629823	851.9482994	377.202573	2629.711099	917.4887571	1934.778449	2779.210661	3652.102386	2402.935657	4202.041951	2920.989228	6353.587166	1988.452704	3490.225441	1919.120475	5796.026127	1726.581911	2872.418379	1160.989841	3426.944087	1704.392163	2009.540988	2194.210492	4627.313817	3976.718838	2291.183995	910.9202735
CerP 33:1	 [M-H]-	5.51	CerP	31.36187599	1933.462012	821.8773821	3596.740044	1717.476272	4702.910823	8702.019868	6089.165148	3316.797159	1976.009974	2152.898301	5942.887179	4027.040529	3335.19534	5011.683197	4067.046258	1586.42062	2722.614182	2191.965117	3274.675585	4129.162108	6480.302798	3366.894793	4805.415003	3366.515821	1961.919683	4277.151997	1583.626965	879.5929351	1801.619288	3511.299447	3823.195579	1060.491628	937.7382657	1289.626126	2784.566378	2003.199625	4773.130056	5627.880383	3237.348833	1179.47906	4243.910722	1952.910562	3902.879884	2487.654904	3095.3875	3026.20335	4344.146086	2319.062475
CerP 34:1	 [M-H]-	5.85	CerP	13.9010253	7392.725713	12154.88546	5889.866486	9451.376503	19840.8157	35033.62417	20681.39073	21222.54881	7090.164459	5114.14643	21666.26148	7221.902947	9977.731568	14545.7622	6608.923334	23943.33334	11040.7507	7792.602028	7393.098786	10532.00087	23406.76093	18936.89554	13617.20403	11704.59264	7768.898273	4412.912007	9985.756986	10885.55228	20156.14764	20782.4415	18097.54704	15268.73729	10076.86353	14304.65172	8815.235364	9124.071711	20053.04752	10941.70714	25361.87329	8142.368651	21505.53401	11905.86584	9839.090751	7320.321659	20273.84019	17205.17401	27448.98275	14440.95372
CerP 34:2	 [M-H]-	5.34	CerP	22.25197502	6628.371408	3268.915235	2155.681031	5039.257568	6769.534706	5187.520831	2237.285284	12630.22778	3174.792019	2447.46935	5825.059101	4157.772574	1030.959176	1338.918022	408.2973519	3831.20964	2110.201783	1016.318008	880.4441822	1241.992872	3016.398033	1148.416409	2142.541285	531.0682154	1316.573808	3429.965926	2602.725802	3068.0145	2948.019737	1998.664737	1826.106986	3476.860895	4578.816678	8071.902119	2629.010962	2126.552247	5654.480552	2341.785842	2518.285328	2792.183091	1461.691299	2434.066533	2400.988379	1667.629028	2117.720508	1879.01695	2043.615851	4688.48236
CerP 40:1	 [M-H]-	7.69	CerP	18.9317182	77305.7451	89818.3365	71778.05287	52625.80188	103319.7618	37618.34385	67955.61556	93182.74878	81372.67512	113290.4971	128739.0675	113905.8793	76215.69746	101355.2991	106498.2677	139499.5467	83206.38212	110287.771	74181.67098	92762.72218	114399.6339	96590.9825	99117.90915	93993.75644	43784.85169	55012.55136	29619.5228	86086.74153	112130.2606	113265.1392	127997.8522	130972.3715	106421.602	79389.96139	87574.80437	70461.98285	148355.2448	92187.02318	156763.8673	77660.54139	101079.0598	73093.89767	44471.04897	41679.78319	92546.94488	87588.36827	72286.44061	66174.27975
CL 62:1	 [M-2H](2-)	5.59	CL	35.91958253	8758.077595	16892.30154	18912.47651	18573.91074	4257.880182	3575.643996	2213.422977	5222.279689	13180.18915	10506.6089	9931.94069	10590.76433	672.179589	2109.485666	2078.529963	5564.810737	7118.84206	6162.865668	5874.86864	4140.988836	1895.975314	2942.623354	4222.23987	1409.749723	6403.159857	13255.83353	5345.861388	4796.569986	3869.120988	2316.472518	5482.733944	1353.763351	5662.807629	7011.486381	7813.162483	2353.303133	621.5648293	1331.932305	987.32296	7086.9062	986.5660629	5682.961526	4622.219959	2459.945663	2922.142111	2217.992361	365.0806012	896.7192101
CL 66:5	 [M-2H](2-)	5.70	CL	37.35835362	11900.89158	14605.34289	18560.49465	13945.76302	8829.757667	8284.351366	28923.15539	21087.81827	9966.747772	10853.42156	28938.18595	13387.43223	1377.079669	10773.50826	9614.814918	13648.43615	13684.57966	18808.67521	10364.15291	11796.61116	3570.687214	5011.758719	2807.670042	3074.007853	3932.157767	4579.059503	636.8921721	2123.428017	11956.20101	12671.82748	5077.900884	7545.038085	3138.896365	1866.498794	6583.698791	1744.455967	4507.601112	7733.43467	10639.27325	2760.133044	9191.670035	2167.962563	1653.807016	303.2186376	1653.014931	5420.614538	6362.997082	3946.24326
CL 68:0	 [M-2H](2-)	7.60	CL	20.28628438	20357.65654	20899.15663	22046.57785	16411.29166	15151.0805	15396.28881	16998.68335	27878.58379	13050.43411	19297.38527	18960.49007	6702.324913	10763.85223	22742.16456	27450.20011	22535.69475	33603.12058	31027.43599	36119.77854	32371.04482	33945.4001	64721.27379	218826.7932	57195.50851	41414.63251	16130.2806	54051.11821	33204.39982	12073.60688	21708.02218	16711.04744	31125.95646	11991.88631	13494.74794	17278.02116	23075.22707	29329.33687	18512.18274	20452.98639	35789.23185	38264.38951	18192.53197	17667.33709	31976.67946	36122.62214	24572.97407	28756.23714	34599.60266
CL 68:1	 [M-2H](2-)	5.86	CL	26.48216117	16521.61576	26601.13862	13341.27077	21242.30611	26596.79073	17334.22274	26328.48086	23137.77603	15671.3109	13081.9118	26217.87424	6428.33476	9145.057691	23978.05714	21396.23219	25598.73001	19301.28943	12099.75873	8154.701966	15924.44736	18278.37618	21429.94785	13370.59999	7631.256961	7512.812333	5583.109476	12371.52354	11068.85398	17881.10232	11517.00228	25987.52881	19294.13365	11289.70214	3677.840097	12764.91558	10307.92158	7215.569064	14267.7537	14789.86893	10304.76538	12829.87729	12190.37357	16914.01779	10767.77725	19997.52726	23459.11622	13733.97041	10732.00402
CL 68:2	 [M-2H](2-)	7.38	CL	12.31473219	53887.16754	90078.5997	109080.5474	75124.79039	80394.10559	86269.20336	59624.76842	113261.0459	63372.42571	84430.8384	64136.94268	26993.32239	65114.53886	76306.23386	127999.6741	74869.23068	197821.8621	118379.3025	137661.6131	186611.4329	164191.3775	130889.2276	123978.0016	135679.2483	162897.0528	97680.67807	118967.5773	162450.6331	48732.29848	79819.92768	73727.94329	134946.89	83632.67222	70003.13568	68584.56793	88757.55439	126177.9803	89373.22748	80355.4333	148299.358	123038.9043	133199.2217	101058.0807	162441.9953	161090.4594	106488.9697	99037.58372	179352.4488
CL 68:2	 [M-2H](2-)	9.61	CL	15.49652836	49703.03453	45281.56838	110985.2027	21018.14418	35426.38548	48681.50493	49549.65421	35462.9173	27869.52874	62779.97776	37230.18751	51304.04691	3195.892008	53324.32098	81444.77758	57294.26515	100244.3631	164429.5602	91650.03301	64982.84826	26582.88434	65113.90608	61422.78056	92901.39226	59127.60747	103889.3407	31618.127	105744.5961	58914.05764	72047.75325	24862.36267	42877.20432	79773.12453	138065.1777	75844.70014	40606.27894	16040.34888	53310.33277	31580.16732	94127.22021	105133.3671	116956.2483	48799.30659	67135.00949	5670.406479	46631.94894	60361.99835	34434.44635
CL 68:3	 [M-2H](2-)	9.45	CL	15.73022304	24187.07698	33376.08297	29970.28016	10990.61862	21345.4017	35954.51239	63641.10936	17189.25434	32140.61603	36283.05275	42405.63123	32171.09468	5829.690464	28034.10929	10569.8275	21462.49464	36534.79199	56316.59042	38016.47983	19566.73128	11669.21854	18793.18073	7652.338834	12176.93587	43599.63771	58008.31867	18707.27832	32499.3675	52268.90847	47566.04836	24504.3829	17619.56863	47269.53207	42870.62348	25615.13551	35787.04185	22698.98796	40325.43219	48144.40502	32681.67358	34900.87959	39604.36657	22053.93872	11612.14324	13343.06192	42519.45486	47076.24559	35674.20089
CL 68:4	 [M-2H](2-)	9.26	CL	17.51253588	34180.57377	34995.26117	14398.42018	19709.50164	11440.79931	3152.302022	12754.83856	5466.996375	29635.37202	30738.50331	23681.65513	32484.88677	6303.758721	20541.46044	14109.47289	4699.275605	35568.4609	36245.7643	35704.91947	38023.71839	5723.061981	17089.84629	21278.65695	14074.50484	28791.43102	56179.83665	26936.53572	19346.07719	12993.2591	14883.6537	18762.51067	22754.32982	30138.34406	43338.87337	30707.57624	38479.96689	14674.97577	14494.96999	12737.61764	34415.33197	8586.785753	34195.93843	22736.35284	14318.36733	9202.896227	12951.32931	11133.13929	17521.37531
CL 68:5	 [M-2H](2-)	9.08	CL	25.80077807	36219.48189	57338.89803	21035.17732	24947.63665	13407.65497	8650.857878	21552.51877	11636.09171	43152.73713	37373.98241	42831.94436	50419.31651	8821.005706	14867.56778	7178.63699	17549.12535	48485.56112	46752.54455	33351.81569	55571.17026	9924.496242	15112.23509	5464.840399	12332.31367	33925.57787	92583.02959	22622.91074	23591.59446	14564.3234	13236.2226	12962.7978	12230.06466	49208.73849	27794.80216	32152.23803	30968.13543	15222.37397	10213.24245	15911.8601	35552.57824	10715.59787	37501.47143	29802.8979	21457.49541	16193.54323	13653.12351	11769.37434	21126.77432
CL 68:6	 [M-2H](2-)	5.51	CL	25.79830418	19030.45922	38328.35162	38807.58986	12507.91119	14554.6105	22780.62777	44557.31296	16624.82299	68584.984	19891.82522	63161.67106	24513.53615	8364.560751	54375.79909	23801.90713	14621.6597	30927.94611	39321.18075	33836.7095	29570.52893	11829.5558	12233.05103	3511.343464	9627.549762	19841.68587	32290.5439	9173.088554	9094.325281	19988.95922	13090.55676	27502.237	28256.99717	15497.51467	1521.152338	23060.0805	10515.12171	6589.714136	19895.84817	19235.15519	10587.21549	28760.73802	12111.36842	14234.38096	9096.765174	12604.58182	23736.39361	20261.54851	15186.77613
CL 68:8	 [M-2H](2-)	5.56	CL	36.76748994	6204.665794	5209.074869	4797.274947	3144.016045	8332.748236	18330.48658	23350.64773	15049.17626	5093.175041	7625.654464	6703.72283	7819.929403	5188.359532	34320.8539	21461.59406	17604.7106	3621.472827	5652.116985	3488.290766	5449.018445	6419.445012	4407.051012	16198.49494	9879.939708	11338.85657	4062.997691	1575.894333	7958.713306	5025.689924	7021.87861	3965.333863	11333.92193	4625.846325	3639.341061	6447.276827	3981.365248	5818.485381	7724.41277	9376.770524	4799.619553	17566.27937	3581.008315	5268.609367	5419.780408	8955.579573	11735.79651	18462.59892	13425.53129
CL 70:1	 [M-2H](2-)	6.08	CL	29.91752177	42467.07859	49334.05835	68471.48667	76577.71168	18192.22872	28904.60391	32704.36316	27549.73193	78890.68962	71056.0818	102491.3088	74440.8615	308959.1478	23759.33032	17158.04904	34872.44989	76152.10113	41878.81264	52494.8128	51467.23797	15991.78186	313277.6758	194460.0308	305539.2888	62702.58851	53458.20154	84929.07915	76861.54394	23321.35818	22086.67179	25510.97581	17013.97546	37362.07238	106826.7319	56918.20939	40303.38673	12197.92971	6533.890376	20384.74755	75148.95603	15204.71355	41676.40961	63883.861	206381.28	16583.79613	18937.75352	22088.88455	15915.12641
CL 70:2	 [M-2H](2-)	9.81	CL	40.34122453	8599.310748	13629.17273	4100.778662	2688.605324	19103.75685	21056.62002	23177.72699	8908.744468	3651.585054	6324.997046	6990.383454	11335.67332	1597.621272	8700.748219	4399.46621	15222.42961	5585.790358	10756.04169	7236.422166	11101.32611	3162.833465	6692.059432	5403.406113	3763.543018	8703.368009	11650.87218	18651.70778	6793.565381	10988.09002	18715.62015	8854.128419	7281.326408	12202.60894	18270.82352	8996.23421	10662.40477	19067.64351	8779.346275	9160.231929	10670.68056	14234.20011	9839.877391	6388.643196	5595.769214	3818.739125	9643.44867	6435.009031	6224.017075
CL 70:3	 [M-2H](2-)	5.58	CL	24.58335608	27813.74173	32692.90395	68279.60311	31562.95619	15691.73184	39145.01699	71294.63592	33118.31477	32846.76188	36380.37713	45538.32912	44460.02928	10027.59306	27822.0801	28352.49594	53130.92164	24438.4596	35340.82845	35592.24718	38782.69156	12382.0958	20055.89477	9427.467226	18759.41186	31562.62222	185214.0122	17200.09118	23045.66277	36408.12981	21067.38143	27576.96388	22477.41599	20636.05906	6618.642234	108413.1819	59891.71501	11228.23694	10644.27241	24047.20035	86604.35652	10674.98241	56956.74784	23626.25751	17743.12347	12673.80856	33879.89391	23157.96521	7068.720922
CL 70:3	 [M-2H](2-)	9.65	CL	22.40056595	53711.62926	33147.77954	29953.33095	20666.72475	68198.66547	78943.64991	88311.95998	24858.21085	37760.3882	40598.33124	50109.71563	35466.39286	2762.804838	54100.79127	24556.29945	36391.36285	55004.44076	73715.57099	54661.13986	42410.50792	15202.10372	31871.23532	7686.707268	26033.96723	57441.68683	73250.35147	45186.55731	28730.9519	81705.53292	58121.8014	23734.55301	24949.45805	47230.32482	74145.69225	33918.04692	46558.47259	42105.1548	62853.88536	51519.87051	47005.52398	72008.41619	59418.72805	23416.83281	15699.44143	12346.50232	54039.53005	62285.9	40717.58897
CL 70:4	 [M-2H](2-)	9.49	CL	14.88846515	126314.766	120548.1512	75353.10889	27088.67194	84473.03246	114737.7933	189104.049	54303.50523	77626.12721	137254.9541	103825.4822	114834.0475	8140.205135	82324.20363	32187.30125	45702.14995	127999.5611	149213.1638	111665.7746	104570.6017	33765.28948	52647.10735	19160.58662	44512.5066	136706.4651	197611.8698	75752.04031	64966.70899	178423.3489	89826.88122	64683.97493	46985.72597	136954.0499	156463.933	79867.3674	111488.2443	103031.3255	131850.4454	118570.454	91292.60102	90698.13742	132593.7734	58476.65518	49685.11044	45351.69395	114136.8071	128990.7384	73313.36055
CL 70:5	 [M-2H](2-)	9.31	CL	11.03529273	280500.6859	333195.2661	103008.2341	38752.30442	93065.67422	90929.24484	179646.5335	71488.52942	193098.2354	329985.6698	220941.928	294332.9351	16977.33675	123740.6571	35461.28974	75910.63246	253015.5366	180107.5037	135098.3397	189071.565	58616.17624	62538.84332	18695.61421	53407.75455	248104.9669	409474.584	82521.45864	123358.4465	157998.425	89484.29859	86111.81738	40903.46681	245686.7469	229028.0023	137848.6154	157806.7371	117237.9857	123717.8698	138577.248	164188.2242	117307.5412	196924.1436	100355.6642	75330.75187	44463.12253	132066.4137	103954.2817	79301.03958
CL 70:6	 [M-2H](2-)	5.77	CL	10.72724225	111446.2619	103466.2356	198177.9616	104212.1211	46682.45653	93018.40566	105865.2144	84281.50801	87632.06291	97981.30505	114702.4806	141579.2737	29863.74077	54703.234	64851.58847	82358.39196	76396.56594	117557.4057	78452.27277	87081.67561	31273.53765	41084.97543	17814.76247	35220.80138	66313.86181	89239.97034	28725.14608	46475.57158	77938.77391	41204.38743	53030.91389	32403.07549	54467.72314	9252.998676	64978.55775	29368.4842	20683.50807	24705.65539	31983.99115	31682.16813	29790.32804	34607.57412	33933.39203	29759.13493	21730.0231	35655.30008	21191.18106	15865.48874
CL 70:6	 [M-2H](2-)	9.11	CL	16.77485558	372023.1589	493929.3842	199942.0072	149991.5129	132458.9133	53426.95703	119465.8797	103068.6054	392198.1092	458518.0438	312183.6819	350676.8165	53110.57581	129911.3574	65117.0864	76918.28598	364754.7439	306074.9509	222003.2768	380138.1276	120554.1845	95890.29695	103092.7491	136343.976	300424.2693	536937.1007	213675.7324	248522.8007	111573.934	95276.84454	109688.2464	99990.88222	385710.6965	274318.4073	291221.4395	310164.267	97426.01033	110232.0437	125019.3207	254670.1292	109452.8207	331554.523	248498.3141	181922.7351	72720.24763	127986.2145	88398.74339	80487.98893
